isin,issuer_name,position_holder,net_short_position,position_date,source
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.71,2026-04-22,current
NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,0.68,2026-04-22,current
NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.55,2026-04-22,current
NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.73,2026-04-22,current
NL0011821392,Signify N.V.,Marshall Wace LLP,1.76,2026-04-22,current
NL0015002MS2,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.09,2026-04-22,current
NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",1.3,2026-04-21,current
NL0011821392,Signify N.V.,Canada Pension Plan Investment Board,0.91,2026-04-21,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,1.82,2026-04-21,current
NL0000289213,Wereldhave N.V.,Citadel Advisors LLC,0.7,2026-04-21,current
NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.56,2026-04-21,current
NL0011821392,Signify N.V.,"PDT Partners, LLC",0.88,2026-04-21,current
NL0006237562,ARCADIS N.V.,White Creek Capital LLP,0.61,2026-04-21,current
NL0012969182,Adyen N.V.,"AQR Capital Management, LLC",1.29,2026-04-20,current
NL0011821392,Signify N.V.,Canada Pension Plan Investment Board,0.87,2026-04-20,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,2.0,2026-04-20,current
NL0011872650,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",1.06,2026-04-20,current
NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.45,2026-04-20,current
NL0011872650,Basic-Fit N.V.,Linden Advisors LP,0.7,2026-04-20,current
NL0013267909,Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",1.16,2026-04-20,current
NL0006237562,ARCADIS N.V.,White Creek Capital LLP,0.57,2026-04-20,current
NL0010801007,IMCD N.V.,"BlackRock Financial Management, Inc.",0.89,2026-04-17,current
NL0011821392,Signify N.V.,Citadel Advisors LLC,2.22,2026-04-17,current
NL0000817179,Sligro Food Group N.V.,Citadel Advisors LLC,0.71,2026-04-17,current
NL0011872650,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",1.12,2026-04-17,current
NL0013267909,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.41,2026-04-17,current
NL0011872650,Basic-Fit N.V.,Fosse Capital Partners LLP,1.02,2026-04-17,current
NL00150003E1,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.06,2026-04-17,current
NL0010801007,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.91,2026-04-17,current
NL0013332471,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.22,2026-04-17,current
NL0011872650,Basic-Fit N.V.,Linden Advisors LP,0.59,2026-04-17,current
