isin,position_date,position_holder,issuer_name,net_short_position,source
NL0011821392,2026-04-28,Marshall Wace LLP,Signify N.V.,1.8,current
NL0015002MS2,2026-04-28,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.98,current
NL0012969182,2026-04-27,"AQR Capital Management, LLC",Adyen N.V.,1.27,current
NL0011821392,2026-04-27,Citadel Advisors LLC,Signify N.V.,1.43,current
CH1216478797,2026-04-27,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.3,current
NL00150003E1,2026-04-27,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2.15,current
NL00150003E1,2026-04-24,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2.06,current
NL0011872650,2026-04-24,Linden Advisors LP,Basic-Fit N.V.,0.82,current
NL0010801007,2026-04-24,Marshall Wace LLP,IMCD N.V.,0.61,current
NL0015002MS2,2026-04-24,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,1.04,current
NL0011821392,2026-04-23,Citadel Advisors LLC,Signify N.V.,1.68,current
NL0000817179,2026-04-23,Citadel Advisors LLC,Sligro Food Group N.V.,0.8,current
NL0011872650,2026-04-23,Eleva Capital SAS,Basic-Fit N.V.,0.84,current
NL0015002MS2,2026-04-23,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,1.11,current
NL0010391025,2026-04-22,Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,0.77,current
NL0011821392,2026-04-22,Citadel Advisors LLC,Signify N.V.,1.71,current
NL0000289213,2026-04-22,Citadel Advisors LLC,Wereldhave N.V.,0.68,current
NL0013267909,2026-04-22,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.55,current
NL00150003E1,2026-04-22,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,1.73,current
NL0010801007,2026-04-22,Marshall Wace LLP,IMCD N.V.,0.56,current
NL0011821392,2026-04-22,Marshall Wace LLP,Signify N.V.,1.76,current
NL0015002MS2,2026-04-22,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,1.09,current
NL0012969182,2026-04-21,"AQR Capital Management, LLC",Adyen N.V.,1.3,current
NL0011821392,2026-04-21,Canada Pension Plan Investment Board,Signify N.V.,0.91,current
NL0011821392,2026-04-21,Citadel Advisors LLC,Signify N.V.,1.82,current
NL0000289213,2026-04-21,Citadel Advisors LLC,Wereldhave N.V.,0.7,current
NL00150003E1,2026-04-21,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,1.56,current
NL0011821392,2026-04-21,"PDT Partners, LLC",Signify N.V.,0.88,current
NL0006237562,2026-04-21,White Creek Capital LLP,ARCADIS N.V.,0.61,current
NL0012969182,2026-04-20,"AQR Capital Management, LLC",Adyen N.V.,1.29,current
NL0011821392,2026-04-20,Canada Pension Plan Investment Board,Signify N.V.,0.87,current
NL0011821392,2026-04-20,Citadel Advisors LLC,Signify N.V.,2.0,current
NL0011872650,2026-04-20,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,1.06,current
NL00150003E1,2026-04-20,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,1.45,current
NL0011872650,2026-04-20,Linden Advisors LP,Basic-Fit N.V.,0.7,current
NL0013267909,2026-04-20,"O'Connor Alternative Investments, LLC",Akzo Nobel N.V.,1.16,current
NL0006237562,2026-04-20,White Creek Capital LLP,ARCADIS N.V.,0.57,current
NL0010801007,2026-04-17,"BlackRock Financial Management, Inc.",IMCD N.V.,0.89,current
NL0011821392,2026-04-17,Citadel Advisors LLC,Signify N.V.,2.22,current
NL0000817179,2026-04-17,Citadel Advisors LLC,Sligro Food Group N.V.,0.71,current
NL0011872650,2026-04-17,"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,1.12,current
NL0013267909,2026-04-17,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.41,current
NL0011872650,2026-04-17,Fosse Capital Partners LLP,Basic-Fit N.V.,1.02,current
NL00150003E1,2026-04-17,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,1.06,current
NL0010801007,2026-04-17,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,0.91,current
NL0013332471,2026-04-17,JPMorgan Asset Management (UK) Ltd.,TomTom N.V.,1.22,current
NL0011872650,2026-04-17,Linden Advisors LP,Basic-Fit N.V.,0.59,current
NL0010801007,2026-04-17,Marshall Wace LLP,IMCD N.V.,0.65,current
NL0009739416,2026-04-17,Marshall Wace LLP,PostNL N.V.,0.81,current
NL0011821392,2026-04-17,"PDT Partners, LLC",Signify N.V.,0.9,current
NL0011872650,2026-04-17,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.6,current
LU2290522684,2026-04-17,"Two Sigma Investments, LP",InPost S.A.,1.47,current
NL0012969182,2026-04-16,"AQR Capital Management, LLC",Adyen N.V.,1.3,current
NL0011821392,2026-04-16,Citadel Advisors LLC,Signify N.V.,2.32,current
NL0010801007,2026-04-16,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,0.85,current
NL0010391025,2026-04-16,Lazard Asset Management LLC,Pharming Group N.V.,1.18,current
NL0010801007,2026-04-16,Marshall Wace LLP,IMCD N.V.,0.52,current
CH1216478797,2026-04-15,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.23,current
NL0010801007,2026-04-15,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,0.76,current
NL0010391025,2026-04-15,Lazard Asset Management LLC,Pharming Group N.V.,1.2,current
NL0011821392,2026-04-15,Marshall Wace LLP,Signify N.V.,1.82,current
NL0015002MS2,2026-04-15,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,1.15,current
NL0010801007,2026-04-14,"BlackRock Financial Management, Inc.",IMCD N.V.,0.97,current
NL0011872650,2026-04-14,Fosse Capital Partners LLP,Basic-Fit N.V.,1.23,current
NL0010801007,2026-04-14,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,0.66,current
