issuer_name,position_date,net_short_position,position_holder,isin,source
Signify N.V.,2026-03-23,0.6,"BlackRock Financial Management, Inc.",NL0011821392,current
Signify N.V.,2026-03-23,1.19,Citadel Advisors Europe Limited,NL0011821392,current
Signify N.V.,2026-03-23,2.3,Citadel Advisors LLC,NL0011821392,current
Alfen N.V.,2026-03-23,1.18,"D. E. Shaw & Co., L.P.",NL0012817175,current
PostNL N.V.,2026-03-23,0.69,"D. E. Shaw & Co., L.P.",NL0009739416,current
The Magnum Ice Cream Company N.V.,2026-03-23,0.51,GLG Partners LP,NL0015002MS2,current
PostNL N.V.,2026-03-23,0.7,Marshall Wace LLP,NL0009739416,current
Theon International Plc,2026-03-23,1.01,Qube Research & Technologies Ltd.,CY0200751713,current
ARCADIS N.V.,2026-03-23,1.05,Squarepoint Ops LLC,NL0006237562,current
InPost S.A.,2026-03-23,1.36,"Two Sigma Investments, LP",LU2290522684,current
Signify N.V.,2026-03-20,0.58,"BlackRock Financial Management, Inc.",NL0011821392,current
Adyen N.V.,2026-03-20,0.7,Capital Fund Management S.A.,NL0012969182,current
DSM-Firmenich AG,2026-03-20,0.75,Ilex Capital Partners (UK) LLP,CH1216478797,current
Randstad N.V.,2026-03-20,0.83,Marshall Wace LLP,NL0000379121,current
The Magnum Ice Cream Company N.V.,2026-03-20,1.52,Marshall Wace LLP,NL0015002MS2,current
Signify N.V.,2026-03-20,0.8,Millennium Capital (DIFC) Limited,NL0011821392,current
Theon International Plc,2026-03-20,0.99,Qube Research & Technologies Ltd.,CY0200751713,current
IMCD N.V.,2026-03-20,0.81,"Two Sigma Investments, LP",NL0010801007,current
InPost S.A.,2026-03-20,1.26,"Two Sigma Investments, LP",LU2290522684,current
Akzo Nobel N.V.,2026-03-19,1.31,AKO Capital LLP,NL0013267909,current
ARCADIS N.V.,2026-03-19,0.8,"AQR Capital Management, LLC",NL0006237562,current
CVC Capital Partners plc,2026-03-19,0.6,Marshall Wace LLP,JE00BRX98089,current
Randstad N.V.,2026-03-19,0.73,Marshall Wace LLP,NL0000379121,current
The Magnum Ice Cream Company N.V.,2026-03-19,1.43,Marshall Wace LLP,NL0015002MS2,current
