issuer_name,position_date,isin,net_short_position,position_holder,source
Adyen N.V.,2026-03-18,NL0012969182,0.6,"AQR Capital Management, LLC",current
Signify N.V.,2026-03-18,NL0011821392,1.21,Citadel Advisors Europe Limited,current
Akzo Nobel N.V.,2026-03-18,NL0013267909,0.52,"Empyrean Capital Overseas Master Fund, Ltd",current
DSM-Firmenich AG,2026-03-18,CH1216478797,0.87,Ilex Capital Partners (UK) LLP,current
Theon International Plc,2026-03-18,CY0200751713,0.57,Qube Research & Technologies Ltd.,current
InPost S.A.,2026-03-18,LU2290522684,1.11,"Two Sigma Investments, LP",current
Alfen N.V.,2026-03-18,NL0012817175,1.97,Voleon Capital Management LP,current
Alfen N.V.,2026-03-18,NL0012817175,2.98,"WorldQuant, LLC",current
CVC Capital Partners plc,2026-03-17,JE00BRX98089,0.71,Qube Research & Technologies Ltd.,current
The Magnum Ice Cream Company N.V.,2026-03-16,NL0015002MS2,1.3,Marshall Wace LLP,current
IMCD N.V.,2026-03-16,NL0010801007,0.8,"PDT Partners, LLC",current
Alfen N.V.,2026-03-16,NL0012817175,3.08,"WorldQuant, LLC",current
Adyen N.V.,2026-03-13,NL0012969182,0.52,"AQR Capital Management, LLC",current
DSM-Firmenich AG,2026-03-13,CH1216478797,0.98,Ilex Capital Partners (UK) LLP,current
CVC Capital Partners plc,2026-03-13,JE00BRX98089,0.52,Marshall Wace LLP,current
Randstad N.V.,2026-03-13,NL0000379121,0.61,Marshall Wace LLP,current
Alfen N.V.,2026-03-13,NL0012817175,3.14,"WorldQuant, LLC",current
IMCD N.V.,2026-03-13,NL0010801007,0.52,"WorldQuant, LLC",current
Envipco Holding N.V.,2026-03-12,NL0015000GX8,0.54,Actus Ray Partners Limited,current
Signify N.V.,2026-03-12,NL0011821392,0.65,Canada Pension Plan Investment Board,current
IMCD N.V.,2026-03-12,NL0010801007,0.64,JPMorgan Asset Management (UK) Ltd.,current
ARCADIS N.V.,2026-03-12,NL0006237562,1.1,Squarepoint Ops LLC,current
Signify N.V.,2026-03-11,NL0011821392,0.57,Canada Pension Plan Investment Board,current
Adyen N.V.,2026-03-11,NL0012969182,0.6,Capital Fund Management S.A.,current
Signify N.V.,2026-03-11,NL0011821392,2.24,Citadel Advisors LLC,current
Signify N.V.,2026-03-11,NL0011821392,1.91,Marshall Wace LLP,current
Signify N.V.,2026-03-10,NL0011821392,2.17,Citadel Advisors LLC,current
Pharming Group N.V.,2026-03-10,NL0010391025,0.96,Lazard Asset Management LLC,current
The Magnum Ice Cream Company N.V.,2026-03-10,NL0015002MS2,1.21,Marshall Wace LLP,current
InPost S.A.,2026-03-10,LU2290522684,1.03,"Two Sigma Investments, LP",current
TomTom N.V.,2026-03-10,NL0013332471,0.52,Winton Capital Management Limited,current
IMCD N.V.,2026-03-09,NL0010801007,0.72,Acadian Asset Management LLC.,current
Akzo Nobel N.V.,2026-03-09,NL0013267909,1.21,AKO Capital LLP,current
Adyen N.V.,2026-03-09,NL0012969182,0.51,Capital Fund Management S.A.,current
Signify N.V.,2026-03-09,NL0011821392,1.18,Citadel Advisors Europe Limited,current
PostNL N.V.,2026-03-09,NL0009739416,0.69,Citadel Advisors LLC,current
Signify N.V.,2026-03-09,NL0011821392,2.06,Citadel Advisors LLC,current
Alfen N.V.,2026-03-09,NL0012817175,1.29,"D. E. Shaw & Co., L.P.",current
IMCD N.V.,2026-03-09,NL0010801007,0.71,"Two Sigma Investments, LP",current
Universal Music Group N.V.,2026-03-06,NL0015000IY2,0.6,"AQR Capital Management, LLC",current
IMCD N.V.,2026-03-06,NL0010801007,0.7,"BlackRock Advisors, LLC",current
Signify N.V.,2026-03-06,NL0011821392,1.88,Citadel Advisors LLC,current
Fugro N.V.,2026-03-06,NL00150003E1,0.81,JPMorgan Asset Management (UK) Ltd.,current
ARCADIS N.V.,2026-03-06,NL0006237562,1.09,Squarepoint Ops LLC,current
IMCD N.V.,2026-03-05,NL0010801007,1.1,"BlackRock Financial Management, Inc.",current
Wereldhave N.V.,2026-03-05,NL0000289213,0.63,Citadel Advisors LLC,current
Randstad N.V.,2026-03-05,NL0000379121,0.5,Marshall Wace LLP,current
