position_holder,issuer_name,position_date,net_short_position,isin,source
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-28,0.98,NL0015002MS2,current
"AQR Capital Management, LLC",Adyen N.V.,2026-04-27,1.27,NL0012969182,current
Citadel Advisors LLC,Signify N.V.,2026-04-27,1.43,NL0011821392,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-04-27,1.3,CH1216478797,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-04-27,2.15,NL00150003E1,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-04-24,2.06,NL00150003E1,current
Linden Advisors LP,Basic-Fit N.V.,2026-04-24,0.82,NL0011872650,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-24,1.04,NL0015002MS2,current
Citadel Advisors LLC,Signify N.V.,2026-04-23,1.68,NL0011821392,current
Citadel Advisors LLC,Sligro Food Group N.V.,2026-04-23,0.8,NL0000817179,current
Eleva Capital SAS,Basic-Fit N.V.,2026-04-23,0.84,NL0011872650,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-23,1.11,NL0015002MS2,current
Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,2026-04-22,0.77,NL0010391025,current
Citadel Advisors LLC,Signify N.V.,2026-04-22,1.71,NL0011821392,current
Citadel Advisors LLC,Wereldhave N.V.,2026-04-22,0.68,NL0000289213,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-04-22,1.55,NL0013267909,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-04-22,1.73,NL00150003E1,current
