position_holder,issuer_name,position_date,isin,net_short_position,source
Citadel Advisors LLC,Sligro Food Group N.V.,2026-04-23,NL0000817179,0.8,current
Eleva Capital SAS,Basic-Fit N.V.,2026-04-23,NL0011872650,0.84,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-23,NL0015002MS2,1.11,current
Squarepoint Ops LLC,Alfen N.V.,2026-04-23,NL0012817175,0.5,current
Capstone Volatility Master (Cayman) Limited,Pharming Group N.V.,2026-04-22,NL0010391025,0.77,current
Citadel Advisors LLC,IMCD N.V.,2026-04-22,NL0010801007,0.62,current
Citadel Advisors LLC,Signify N.V.,2026-04-22,NL0011821392,1.71,current
Citadel Advisors LLC,Wereldhave N.V.,2026-04-22,NL0000289213,0.68,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-04-22,NL0013267909,1.55,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-04-22,NL00150003E1,1.73,current
Marshall Wace LLP,IMCD N.V.,2026-04-22,NL0010801007,0.56,current
Marshall Wace LLP,Signify N.V.,2026-04-22,NL0011821392,1.76,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-04-22,NL0015002MS2,1.09,current
"AQR Capital Management, LLC",Adyen N.V.,2026-04-21,NL0012969182,1.3,current
Canada Pension Plan Investment Board,Signify N.V.,2026-04-21,NL0011821392,0.91,current
Citadel Advisors LLC,Signify N.V.,2026-04-21,NL0011821392,1.82,current
Citadel Advisors LLC,Wereldhave N.V.,2026-04-21,NL0000289213,0.7,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-04-21,NL00150003E1,1.56,current
"PDT Partners, LLC",Signify N.V.,2026-04-21,NL0011821392,0.88,current
White Creek Capital LLP,ARCADIS N.V.,2026-04-21,NL0006237562,0.61,current
"AQR Capital Management, LLC",Adyen N.V.,2026-04-20,NL0012969182,1.29,current
Canada Pension Plan Investment Board,Signify N.V.,2026-04-20,NL0011821392,0.87,current
Citadel Advisors LLC,Signify N.V.,2026-04-20,NL0011821392,2.0,current
"D. E. Shaw & Co., L.P.",Basic-Fit N.V.,2026-04-20,NL0011872650,1.06,current
JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2026-04-20,NL00150003E1,1.45,current
Linden Advisors LP,Basic-Fit N.V.,2026-04-20,NL0011872650,0.7,current
"O'Connor Alternative Investments, LLC",Akzo Nobel N.V.,2026-04-20,NL0013267909,1.16,current
White Creek Capital LLP,ARCADIS N.V.,2026-04-20,NL0006237562,0.57,current
"BlackRock Financial Management, Inc.",IMCD N.V.,2026-04-17,NL0010801007,0.89,current
Citadel Advisors LLC,IMCD N.V.,2026-04-17,NL0010801007,0.53,current
Citadel Advisors LLC,Signify N.V.,2026-04-17,NL0011821392,2.22,current
