position_holder,issuer_name,net_short_position,position_date,isin,source
Citadel Advisors LLC,Sligro Food Group N.V.,0.89,2026-06-17,NL0000817179,current
"Farallon Capital Management, L.L.C.",Signify N.V.,0.75,2026-06-17,NL0011821392,current
Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,1.91,2026-06-17,CH1216478797,current
Marshall Wace LLP,Signify N.V.,1.51,2026-06-17,NL0011821392,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.88,2026-06-17,NL0015002MS2,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.3,2026-06-16,NL0013267909,current
"Farallon Capital Management, L.L.C.",Signify N.V.,0.61,2026-06-16,NL0011821392,current
Winton Capital Management Limited,PostNL N.V.,0.51,2026-06-16,NL0009739416,current
"WorldQuant, LLC",Alfen N.V.,0.63,2026-06-16,NL0012817175,current
"Farallon Capital Management, L.L.C.",Signify N.V.,0.56,2026-06-15,NL0011821392,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.9,2026-06-15,NL0015002MS2,current
Millennium International Management LP,Akzo Nobel N.V.,0.5,2026-06-15,NL0013267909,current
"O'Connor Alternative Investments, LLC",Akzo Nobel N.V.,1.09,2026-06-15,NL0013267909,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.9,2026-06-15,NL0015002MS2,current
"BlackRock Advisors, LLC",Akzo Nobel N.V.,0.7,2026-06-12,NL0013267909,current
Citadel Advisors LLC,Signify N.V.,1.56,2026-06-12,NL0011821392,current
Marshall Wace LLP,DSM-Firmenich AG,0.88,2026-06-12,CH1216478797,current
Marshall Wace LLP,Signify N.V.,1.48,2026-06-12,NL0011821392,current
Linden Advisors LP,Basic-Fit N.V.,0.75,2026-06-11,NL0011872650,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.89,2026-06-11,NL0015002MS2,current
Qube Research & Technologies Ltd.,CSG N.V.,0.5,2026-06-11,NL0015073TS8,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.89,2026-06-11,NL0015002MS2,current
"WorldQuant, LLC",Alfen N.V.,0.56,2026-06-11,NL0012817175,current
"AQR Capital Management, LLC",Adyen N.V.,0.99,2026-06-10,NL0012969182,current
"AQR Capital Management, LLC",ARCADIS N.V.,0.89,2026-06-10,NL0006237562,current
Citadel Advisors LLC,Signify N.V.,1.6,2026-06-10,NL0011821392,current
Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.83,2026-06-10,NL0011872650,current
Walleye Capital LLC,Pharming Group N.V.,1.1,2026-06-10,NL0010391025,current
Capital Fund Management S.A.,IMCD N.V.,0.9,2026-06-09,NL0010801007,current
Citadel Advisors LLC,Signify N.V.,1.59,2026-06-09,NL0011821392,current
Citadel Advisors LLC,Wereldhave N.V.,1.0,2026-06-09,NL0000289213,current
LMR Partners LLP,Akzo Nobel N.V.,1.12,2026-06-09,NL0013267909,current
Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.9,2026-06-09,NL0015002MS2,current
"Two Sigma Investments, LP",Theon International Plc,0.77,2026-06-09,CY0200751713,current
Citadel Advisors LLC,DSM-Firmenich AG,1.01,2026-06-08,CH1216478797,current
LMR Partners LLP,Akzo Nobel N.V.,1.08,2026-06-08,NL0013267909,current
"PDT Partners, LLC",Signify N.V.,1.2,2026-06-08,NL0011821392,current
"Two Sigma Investments, LP",InPost S.A.,1.09,2026-06-08,LU2290522684,current
"BlackRock Institutional Trust Company, National Association",Signify N.V.,0.51,2026-06-05,NL0011821392,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.24,2026-06-05,NL0013267909,current
Marshall Wace LLP,Signify N.V.,1.59,2026-06-05,NL0011821392,current
Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.92,2026-06-05,NL0015002MS2,current
"AQR Capital Management, LLC",Adyen N.V.,1.07,2026-06-04,NL0012969182,current
"BlackRock Advisors, LLC",Akzo Nobel N.V.,0.65,2026-06-04,NL0013267909,current
Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.17,2026-06-04,NL0013267909,current
LMR Partners LLP,Akzo Nobel N.V.,0.91,2026-06-04,NL0013267909,current
Squarepoint Ops LLC,Signify N.V.,0.62,2026-06-04,NL0011821392,current
"AQR Capital Management, LLC",CVC Capital Partners plc,0.69,2026-06-03,JE00BRX98089,current
