net_short_position,issuer_name,position_holder,isin,position_date,source
0.98,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,CH1216478797,2026-03-13,current
0.52,CVC Capital Partners plc,Marshall Wace LLP,JE00BRX98089,2026-03-13,current
0.61,Randstad N.V.,Marshall Wace LLP,NL0000379121,2026-03-13,current
0.6,Akzo Nobel N.V.,Millennium International Management LP,NL0013267909,2026-03-13,current
3.14,Alfen N.V.,"WorldQuant, LLC",NL0012817175,2026-03-13,current
0.52,IMCD N.V.,"WorldQuant, LLC",NL0010801007,2026-03-13,current
0.54,Envipco Holding N.V.,Actus Ray Partners Limited,NL0015000GX8,2026-03-12,current
0.64,Akzo Nobel N.V.,Albar Capital Partners LLP,NL0013267909,2026-03-12,current
0.65,Signify N.V.,Canada Pension Plan Investment Board,NL0011821392,2026-03-12,current
0.64,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,NL0010801007,2026-03-12,current
1.1,ARCADIS N.V.,Squarepoint Ops LLC,NL0006237562,2026-03-12,current
0.5,IMCD N.V.,Squarepoint Ops LLC,NL0010801007,2026-03-12,current
0.57,Signify N.V.,Canada Pension Plan Investment Board,NL0011821392,2026-03-11,current
0.6,Adyen N.V.,Capital Fund Management S.A.,NL0012969182,2026-03-11,current
2.24,Signify N.V.,Citadel Advisors LLC,NL0011821392,2026-03-11,current
0.69,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2026-03-11,current
1.91,Signify N.V.,Marshall Wace LLP,NL0011821392,2026-03-11,current
2.17,Signify N.V.,Citadel Advisors LLC,NL0011821392,2026-03-10,current
0.7,BE Semiconductor Industries N.V.,"D. E. Shaw & Co., L.P.",NL0012866412,2026-03-10,current
0.86,Akzo Nobel N.V.,Kintbury Capital LLP,NL0013267909,2026-03-10,current
0.96,Pharming Group N.V.,Lazard Asset Management LLC,NL0010391025,2026-03-10,current
0.72,Koninklijke KPN N.V.,Marshall Wace LLP,NL0000009082,2026-03-10,current
1.21,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,NL0015002MS2,2026-03-10,current
1.03,InPost S.A.,"Two Sigma Investments, LP",LU2290522684,2026-03-10,current
0.52,TomTom N.V.,Winton Capital Management Limited,NL0013332471,2026-03-10,current
0.72,IMCD N.V.,Acadian Asset Management LLC.,NL0010801007,2026-03-09,current
1.21,Akzo Nobel N.V.,AKO Capital LLP,NL0013267909,2026-03-09,current
0.51,Adyen N.V.,Capital Fund Management S.A.,NL0012969182,2026-03-09,current
1.18,Signify N.V.,Citadel Advisors Europe Limited,NL0011821392,2026-03-09,current
0.69,PostNL N.V.,Citadel Advisors LLC,NL0009739416,2026-03-09,current
2.06,Signify N.V.,Citadel Advisors LLC,NL0011821392,2026-03-09,current
1.29,Alfen N.V.,"D. E. Shaw & Co., L.P.",NL0012817175,2026-03-09,current
0.5,IMCD N.V.,"D. E. Shaw & Co., L.P.",NL0010801007,2026-03-09,current
0.51,Akzo Nobel N.V.,Millennium International Management LP,NL0013267909,2026-03-09,current
0.71,IMCD N.V.,"Two Sigma Investments, LP",NL0010801007,2026-03-09,current
0.51,Basic-Fit N.V.,Wellington Management International Ltd.,NL0011872650,2026-03-09,current
0.67,Akzo Nobel N.V.,"AQR Capital Management, LLC",NL0013267909,2026-03-06,current
0.6,Universal Music Group N.V.,"AQR Capital Management, LLC",NL0015000IY2,2026-03-06,current
0.7,IMCD N.V.,"BlackRock Advisors, LLC",NL0010801007,2026-03-06,current
1.88,Signify N.V.,Citadel Advisors LLC,NL0011821392,2026-03-06,current
0.81,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,NL00150003E1,2026-03-06,current
1.09,ARCADIS N.V.,Squarepoint Ops LLC,NL0006237562,2026-03-06,current
1.1,IMCD N.V.,"BlackRock Financial Management, Inc.",NL0010801007,2026-03-05,current
0.63,Wereldhave N.V.,Citadel Advisors LLC,NL0000289213,2026-03-05,current
0.5,Randstad N.V.,Marshall Wace LLP,NL0000379121,2026-03-05,current
1.11,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,NL0015002MS2,2026-03-05,current
0.6,CVC Capital Partners plc,Qube Research & Technologies Ltd.,JE00BRX98089,2026-03-05,current
