position_date,isin,issuer_name,net_short_position,position_holder,source
2024-03-19,NL0013267909,Akzo Nobel N.V.,0.51,AKO Capital LLP,current
2024-03-04,NL0013332471,TomTom N.V.,1.69,JPMorgan Asset Management (UK) Ltd.,current
2024-02-23,NL0013332471,TomTom N.V.,1.79,JPMorgan Asset Management (UK) Ltd.,current
2024-02-19,NL0013332471,TomTom N.V.,1.89,JPMorgan Asset Management (UK) Ltd.,current
2024-02-15,NL0013332471,TomTom N.V.,1.96,JPMorgan Asset Management (UK) Ltd.,current
2024-02-13,NL0013332471,TomTom N.V.,2.08,JPMorgan Asset Management (UK) Ltd.,current
2024-01-30,NL0010832176,argenx SE,0.66,Jefferies Financial Group Inc.,current
2024-01-29,NL0013332471,TomTom N.V.,2.18,JPMorgan Asset Management (UK) Ltd.,current
2024-01-24,NL0010832176,argenx SE,0.55,Jefferies Financial Group Inc.,current
2023-12-08,NL0013332471,TomTom N.V.,2.25,JPMorgan Asset Management (UK) Ltd.,current
2023-12-07,NL0013332471,TomTom N.V.,2.15,JPMorgan Asset Management (UK) Ltd.,current
2023-12-06,NL0011872650,Basic-Fit N.V.,0.62,JPMorgan Asset Management (UK) Ltd.,current
2023-12-06,NL0013332471,TomTom N.V.,2.09,JPMorgan Asset Management (UK) Ltd.,current
2023-12-05,NL0013332471,TomTom N.V.,1.92,JPMorgan Asset Management (UK) Ltd.,current
2023-12-04,NL0013332471,TomTom N.V.,1.83,JPMorgan Asset Management (UK) Ltd.,current
2023-11-30,NL0013332471,TomTom N.V.,1.72,JPMorgan Asset Management (UK) Ltd.,current
2023-11-29,NL0013332471,TomTom N.V.,1.69,JPMorgan Asset Management (UK) Ltd.,current
2023-11-23,NL0013332471,TomTom N.V.,1.5,JPMorgan Asset Management (UK) Ltd.,current
2023-11-21,NL0013332471,TomTom N.V.,1.43,JPMorgan Asset Management (UK) Ltd.,current
2023-11-06,NL0013332471,TomTom N.V.,1.36,JPMorgan Asset Management (UK) Ltd.,current
2023-11-01,NL0011872650,Basic-Fit N.V.,0.52,JPMorgan Asset Management (UK) Ltd.,current
2023-11-01,NL0013332471,TomTom N.V.,1.4,JPMorgan Asset Management (UK) Ltd.,current
2023-10-30,NL0013332471,TomTom N.V.,1.12,JPMorgan Asset Management (UK) Ltd.,current
2023-10-25,NL0013332471,TomTom N.V.,1.0,JPMorgan Asset Management (UK) Ltd.,current
2023-10-20,NL0013332471,TomTom N.V.,0.92,JPMorgan Asset Management (UK) Ltd.,current
2023-10-17,NL0013332471,TomTom N.V.,0.82,JPMorgan Asset Management (UK) Ltd.,current
2023-10-16,NL0013332471,TomTom N.V.,0.75,JPMorgan Asset Management (UK) Ltd.,current
2023-09-20,NL0013332471,TomTom N.V.,0.64,JPMorgan Asset Management (UK) Ltd.,current
2023-08-31,BE0003818359,Galapagos NV,1.56,"Arrowstreet Capital, Limited Partnership",current
2023-07-21,NL0013332471,TomTom N.V.,0.54,JPMorgan Asset Management (UK) Ltd.,current
2023-07-19,NL0013332471,TomTom N.V.,0.64,JPMorgan Asset Management (UK) Ltd.,current
2023-07-18,NL0013332471,TomTom N.V.,0.79,JPMorgan Asset Management (UK) Ltd.,current
2023-07-17,NL0013332471,TomTom N.V.,0.87,JPMorgan Asset Management (UK) Ltd.,current
2023-07-06,NL0013332471,TomTom N.V.,1.91,JPMorgan Asset Management (UK) Ltd.,current
2023-06-13,NL0013332471,TomTom N.V.,1.8,JPMorgan Asset Management (UK) Ltd.,current
2023-06-12,BE0003818359,Galapagos NV,1.6,"Arrowstreet Capital, Limited Partnership",current
2023-06-02,NL0013332471,TomTom N.V.,1.7,JPMorgan Asset Management (UK) Ltd.,current
2023-05-31,BE0003818359,Galapagos NV,1.5,"Arrowstreet Capital, Limited Partnership",current
2023-05-24,BE0003818359,Galapagos NV,1.4,"Arrowstreet Capital, Limited Partnership",current
2023-05-19,BE0003818359,Galapagos NV,1.3,"Arrowstreet Capital, Limited Partnership",current
2023-05-05,BE0003818359,Galapagos NV,1.2,"Arrowstreet Capital, Limited Partnership",current
2023-05-04,BE0003818359,Galapagos NV,1.11,"Arrowstreet Capital, Limited Partnership",current
2023-04-28,BE0003818359,Galapagos NV,1.02,"Arrowstreet Capital, Limited Partnership",current
2023-04-27,BE0003818359,Galapagos NV,0.91,"Arrowstreet Capital, Limited Partnership",current
2023-04-20,BE0003818359,Galapagos NV,0.84,"Arrowstreet Capital, Limited Partnership",current
2023-04-05,BE0003818359,Galapagos NV,0.71,"Arrowstreet Capital, Limited Partnership",current
2023-03-29,BE0003818359,Galapagos NV,0.61,"Arrowstreet Capital, Limited Partnership",current
2023-03-24,BE0003818359,Galapagos NV,0.52,"Arrowstreet Capital, Limited Partnership",current
2022-12-01,NL0011872650,Basic-Fit N.V.,1.43,Fosse Capital Partners LLP,current
2022-11-15,NL0013332471,TomTom N.V.,1.58,JPMorgan Asset Management (UK) Ltd.,current
2022-11-14,NL0013332471,TomTom N.V.,1.74,JPMorgan Asset Management (UK) Ltd.,current
2022-10-14,NL0013332471,TomTom N.V.,1.88,JPMorgan Asset Management (UK) Ltd.,current
2022-10-07,NL0011872650,Basic-Fit N.V.,1.17,Fosse Capital Partners LLP,current
2022-10-04,NL0011872650,Basic-Fit N.V.,1.05,Fosse Capital Partners LLP,current
2022-10-03,NL0011872650,Basic-Fit N.V.,0.56,Fosse Capital Partners LLP,current
2022-09-12,NL0013332471,TomTom N.V.,1.7,JPMorgan Asset Management (UK) Ltd.,current
2022-09-07,NL0013332471,TomTom N.V.,1.6,JPMorgan Asset Management (UK) Ltd.,current
2022-09-05,NL0013332471,TomTom N.V.,1.53,JPMorgan Asset Management (UK) Ltd.,current
2022-09-02,NL0013332471,TomTom N.V.,1.48,JPMorgan Asset Management (UK) Ltd.,current
2022-06-08,NL0013332471,TomTom N.V.,1.3,JPMorgan Asset Management (UK) Ltd.,current
2022-06-03,NL0013332471,TomTom N.V.,1.22,JPMorgan Asset Management (UK) Ltd.,current
2022-05-11,NL0013332471,TomTom N.V.,1.17,JPMorgan Asset Management (UK) Ltd.,current
2022-03-01,NL0013332471,TomTom N.V.,1.28,JPMorgan Asset Management (UK) Ltd.,current
2022-02-04,NL0013332471,TomTom N.V.,1.38,JPMorgan Asset Management (UK) Ltd.,current
2021-08-26,NL0013332471,TomTom N.V.,1.2,JPMorgan Asset Management (UK) Ltd.,current
2021-08-20,NL0013332471,TomTom N.V.,1.11,JPMorgan Asset Management (UK) Ltd.,current
2021-08-18,NL0013332471,TomTom N.V.,1.06,JPMorgan Asset Management (UK) Ltd.,current
2021-08-17,NL0013332471,TomTom N.V.,0.8,JPMorgan Asset Management (UK) Ltd.,current
2021-08-13,NL0013332471,TomTom N.V.,0.7,JPMorgan Asset Management (UK) Ltd.,current
2021-08-12,NL0013332471,TomTom N.V.,0.67,JPMorgan Asset Management (UK) Ltd.,current
2018-03-09,NL0000852580,Koninklijke Boskalis Westminster N.V.,0.5,Millennium International Management LP,current
2026-03-31,NL0010801007,IMCD N.V.,0.49,"BlackRock Institutional Trust Company, National Association",archive
2026-03-31,NL0012817175,Alfen N.V.,0.49,"Cubist Systematic Strategies, LLC",archive
2026-03-31,NL0011821392,Signify N.V.,0.48,Millennium International Management LP,archive
2026-03-30,NL0013267909,Akzo Nobel N.V.,0.49,"Arrowstreet Capital, Limited Partnership",archive
2026-03-27,NL0012817175,Alfen N.V.,0.48,Citadel Securities (Europe) Limited,archive
2026-03-24,NL0010801007,IMCD N.V.,0.47,Citadel Advisors LLC,archive
2026-03-24,NL0012817175,Alfen N.V.,0.57,Citadel Securities (Europe) Limited,archive
2026-03-23,NL0010801007,IMCD N.V.,0.58,Citadel Advisors LLC,archive
2026-03-23,NL0012817175,Alfen N.V.,0.5,"Cubist Systematic Strategies, LLC",archive
2026-03-23,NL0012817175,Alfen N.V.,0.37,Qube Research & Technologies Ltd.,archive
2026-03-20,NL0012817175,Alfen N.V.,0.69,Citadel Securities (Europe) Limited,archive
2026-03-20,NL0012365084,NSI N.V.,0.0,Millennium International Management LP,archive
2026-03-20,NL0011821392,Signify N.V.,0.54,Millennium International Management LP,archive
2026-03-20,NL0000379121,Randstad N.V.,0.46,"Point72 Europe (London), LLP",archive
2026-03-20,NL0012817175,Alfen N.V.,0.49,Tudor Capital Europe LLP,archive
2026-03-18,NL0011821392,Signify N.V.,0.4,"BlackRock Financial Management, Inc.",archive
2026-03-18,NL0012866412,BE Semiconductor Industries N.V.,0.48,Canada Pension Plan Investment Board,archive
