issuer_name,position_date,position_holder,net_short_position,isin,source
Theon International Plc,2026-05-11,"Two Sigma Investments, LP",0.8,CY0200751713,current
Pharming Group N.V.,2026-05-11,Walleye Capital LLC,0.63,NL0010391025,current
Signify N.V.,2026-05-08,Citadel Advisors LLC,1.5,NL0011821392,current
Akzo Nobel N.V.,2026-05-08,Davidson Kempner Capital Management LP,1.72,NL0013267909,current
Pharming Group N.V.,2026-05-08,"Two Sigma Investments, LP",0.75,NL0010391025,current
Pharming Group N.V.,2026-05-08,Walleye Capital LLC,0.53,NL0010391025,current
Signify N.V.,2026-05-07,Citadel Advisors Europe Limited,0.97,NL0011821392,current
Pharming Group N.V.,2026-05-07,Lazard Asset Management LLC,0.76,NL0010391025,current
Signify N.V.,2026-05-07,Marshall Wace LLP,1.69,NL0011821392,current
IMCD N.V.,2026-05-06,Capital Fund Management S.A.,0.79,NL0010801007,current
Signify N.V.,2026-05-06,Citadel Advisors LLC,1.41,NL0011821392,current
DSM-Firmenich AG,2026-05-06,Ilex Capital Partners (UK) LLP,1.4,CH1216478797,current
CVC Capital Partners plc,2026-05-06,Marshall Wace LLP,0.69,JE00BRX98089,current
IMCD N.V.,2026-05-06,"PDT Partners, LLC",0.77,NL0010801007,current
Signify N.V.,2026-05-06,"PDT Partners, LLC",0.9,NL0011821392,current
Signify N.V.,2026-05-05,Citadel Advisors Europe Limited,0.8,NL0011821392,current
Signify N.V.,2026-05-05,Citadel Advisors LLC,1.36,NL0011821392,current
Basic-Fit N.V.,2026-05-05,"D. E. Shaw & Co., L.P.",0.98,NL0011872650,current
TomTom N.V.,2026-05-05,JPMorgan Asset Management (UK) Ltd.,1.09,NL0013332471,current
Signify N.V.,2026-05-05,Marshall Wace LLP,1.76,NL0011821392,current
Basic-Fit N.V.,2026-05-05,Sculptor Capital Management Europe Limited,0.65,NL0011872650,current
IMCD N.V.,2026-05-04,Capital Fund Management S.A.,0.81,NL0010801007,current
Signify N.V.,2026-05-04,Citadel Advisors Europe Limited,0.7,NL0011821392,current
Akzo Nobel N.V.,2026-05-04,Davidson Kempner Capital Management LP,1.61,NL0013267909,current
Signify N.V.,2026-04-30,Citadel Advisors Europe Limited,0.55,NL0011821392,current
ARCADIS N.V.,2026-04-30,"D. E. Shaw & Co., L.P.",0.57,NL0006237562,current
Pharming Group N.V.,2026-04-30,Jupiter Asset Management Ltd.,0.5,NL0010391025,current
PostNL N.V.,2026-04-30,Marshall Wace LLP,0.89,NL0009739416,current
The Magnum Ice Cream Company N.V.,2026-04-30,Marshall Wace LLP,0.86,NL0015002MS2,current
Signify N.V.,2026-04-30,"PDT Partners, LLC",0.89,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-04-30,Qube Research & Technologies Ltd.,0.6,NL0015002MS2,current
Basic-Fit N.V.,2026-04-30,Sculptor Capital Management Europe Limited,0.59,NL0011872650,current
ARCADIS N.V.,2026-04-30,White Creek Capital LLP,0.56,NL0006237562,current
Signify N.V.,2026-04-29,Citadel Advisors LLC,1.29,NL0011821392,current
Sligro Food Group N.V.,2026-04-29,Citadel Advisors LLC,0.9,NL0000817179,current
Wolters Kluwer N.V.,2026-04-29,"D. E. Shaw & Co., L.P.",0.79,NL0000395903,current
CVC Capital Partners plc,2026-04-29,Marshall Wace LLP,0.71,JE00BRX98089,current
PostNL N.V.,2026-04-29,Marshall Wace LLP,0.9,NL0009739416,current
Signify N.V.,2026-04-29,"PDT Partners, LLC",0.9,NL0011821392,current
Signify N.V.,2026-04-28,Citadel Advisors LLC,1.32,NL0011821392,current
TomTom N.V.,2026-04-28,JPMorgan Asset Management (UK) Ltd.,1.17,NL0013332471,current
Signify N.V.,2026-04-28,Marshall Wace LLP,1.8,NL0011821392,current
The Magnum Ice Cream Company N.V.,2026-04-28,Marshall Wace LLP,0.98,NL0015002MS2,current
Adyen N.V.,2026-04-27,"AQR Capital Management, LLC",1.27,NL0012969182,current
Signify N.V.,2026-04-27,Citadel Advisors LLC,1.43,NL0011821392,current
DSM-Firmenich AG,2026-04-27,Ilex Capital Partners (UK) LLP,1.3,CH1216478797,current
Fugro N.V.,2026-04-27,JPMorgan Asset Management (UK) Ltd.,2.15,NL00150003E1,current
Fugro N.V.,2026-04-24,JPMorgan Asset Management (UK) Ltd.,2.06,NL00150003E1,current
Basic-Fit N.V.,2026-04-24,Linden Advisors LP,0.82,NL0011872650,current
The Magnum Ice Cream Company N.V.,2026-04-24,Marshall Wace LLP,1.04,NL0015002MS2,current
Signify N.V.,2026-04-23,Citadel Advisors LLC,1.68,NL0011821392,current
Sligro Food Group N.V.,2026-04-23,Citadel Advisors LLC,0.8,NL0000817179,current
Basic-Fit N.V.,2026-04-23,Eleva Capital SAS,0.84,NL0011872650,current
The Magnum Ice Cream Company N.V.,2026-04-23,Marshall Wace LLP,1.11,NL0015002MS2,current
Pharming Group N.V.,2026-04-22,Capstone Volatility Master (Cayman) Limited,0.77,NL0010391025,current
Signify N.V.,2026-04-22,Citadel Advisors LLC,1.71,NL0011821392,current
Wereldhave N.V.,2026-04-22,Citadel Advisors LLC,0.68,NL0000289213,current
