isin,position_holder,position_date,issuer_name,net_short_position,source
LU2290522684,"Two Sigma Investments, LP",2026-04-17,InPost S.A.,1.47,current
NL0015002MS2,Walleye Capital LLC,2026-04-17,The Magnum Ice Cream Company N.V.,0.62,current
NL0010801007,Acadian Asset Management LLC.,2026-04-16,IMCD N.V.,0.69,current
NL0012969182,"AQR Capital Management, LLC",2026-04-16,Adyen N.V.,1.3,current
NL0011821392,Citadel Advisors LLC,2026-04-16,Signify N.V.,2.32,current
NL0010801007,JPMorgan Asset Management (UK) Ltd.,2026-04-16,IMCD N.V.,0.85,current
NL0010391025,Lazard Asset Management LLC,2026-04-16,Pharming Group N.V.,1.18,current
NL0010801007,Marshall Wace LLP,2026-04-16,IMCD N.V.,0.52,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-04-15,DSM-Firmenich AG,1.23,current
NL0010801007,JPMorgan Asset Management (UK) Ltd.,2026-04-15,IMCD N.V.,0.76,current
NL0010391025,Lazard Asset Management LLC,2026-04-15,Pharming Group N.V.,1.2,current
NL0011821392,Marshall Wace LLP,2026-04-15,Signify N.V.,1.82,current
NL0015002MS2,Marshall Wace LLP,2026-04-15,The Magnum Ice Cream Company N.V.,1.15,current
NL0010801007,"BlackRock Financial Management, Inc.",2026-04-14,IMCD N.V.,0.97,current
NL0011872650,Fosse Capital Partners LLP,2026-04-14,Basic-Fit N.V.,1.23,current
NL0010801007,JPMorgan Asset Management (UK) Ltd.,2026-04-14,IMCD N.V.,0.66,current
NL0015002MS2,Marshall Wace LLP,2026-04-14,The Magnum Ice Cream Company N.V.,1.22,current
NL0009739416,"PDT Partners, LLC",2026-04-14,PostNL N.V.,0.5,current
NL0012969182,"AQR Capital Management, LLC",2026-04-13,Adyen N.V.,1.21,current
NL0006237562,"AQR Capital Management, LLC",2026-04-13,ARCADIS N.V.,1.01,current
JE00BRX98089,"AQR Capital Management, LLC",2026-04-13,CVC Capital Partners plc,0.71,current
NL0000817179,Citadel Advisors LLC,2026-04-13,Sligro Food Group N.V.,0.61,current
NL0010801007,"PDT Partners, LLC",2026-04-13,IMCD N.V.,0.89,current
NL0015002MS2,Walleye Capital LLC,2026-04-13,The Magnum Ice Cream Company N.V.,0.5,current
NL0000395903,"D. E. Shaw & Co., L.P.",2026-04-10,Wolters Kluwer N.V.,0.8,current
NL0015002MS2,Marshall Wace LLP,2026-04-10,The Magnum Ice Cream Company N.V.,1.38,current
NL0010801007,"PDT Partners, LLC",2026-04-10,IMCD N.V.,0.9,current
NL0012969182,"AQR Capital Management, LLC",2026-04-09,Adyen N.V.,1.13,current
NL0011821392,Citadel Advisors LLC,2026-04-09,Signify N.V.,2.42,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-04-09,DSM-Firmenich AG,1.0,current
NL0012365084,Numeric Investors LLC,2026-04-09,NSI N.V.,0.71,current
NL0010801007,"PDT Partners, LLC",2026-04-09,IMCD N.V.,0.89,current
NL0000852564,"AQR Capital Management, LLC",2026-04-08,Aalberts N.V.,0.61,current
NL0011821392,"AQR Capital Management, LLC",2026-04-08,Signify N.V.,1.22,current
NL0011821392,Citadel Advisors LLC,2026-04-08,Signify N.V.,2.39,current
NL0015002MS2,Qube Research & Technologies Ltd.,2026-04-08,The Magnum Ice Cream Company N.V.,0.5,current
NL0010801007,"Two Sigma Investments, LP",2026-04-08,IMCD N.V.,0.79,current
NL0010801007,"BlackRock Advisors, LLC",2026-04-07,IMCD N.V.,0.66,current
NL0010801007,"BlackRock Financial Management, Inc.",2026-04-07,IMCD N.V.,1.0,current
NL0010801007,Capital Fund Management S.A.,2026-04-07,IMCD N.V.,0.76,current
NL0011821392,Citadel Advisors LLC,2026-04-07,Signify N.V.,2.41,current
NL0006237562,"D. E. Shaw & Co., L.P.",2026-04-07,ARCADIS N.V.,0.69,current
NL0015002MS2,Marshall Wace LLP,2026-04-07,The Magnum Ice Cream Company N.V.,1.46,current
NL0012969182,"AQR Capital Management, LLC",2026-04-02,Adyen N.V.,1.0,current
JE00BRX98089,"AQR Capital Management, LLC",2026-04-02,CVC Capital Partners plc,0.61,current
NL0010801007,"BlackRock Financial Management, Inc.",2026-04-02,IMCD N.V.,0.99,current
NL0000817179,Citadel Advisors LLC,2026-04-02,Sligro Food Group N.V.,0.5,current
NL0006237562,"D. E. Shaw & Co., L.P.",2026-04-02,ARCADIS N.V.,0.7,current
NL0011872650,Eleva Capital SAS,2026-04-02,Basic-Fit N.V.,0.62,current
NL0011821392,"AQR Capital Management, LLC",2026-04-01,Signify N.V.,1.1,current
NL0010801007,"Arrowstreet Capital, Limited Partnership",2026-04-01,IMCD N.V.,1.21,current
NL0011821392,Canada Pension Plan Investment Board,2026-04-01,Signify N.V.,0.74,current
NL0011821392,Citadel Advisors LLC,2026-04-01,Signify N.V.,2.36,current
NL0006237562,"D. E. Shaw & Co., L.P.",2026-04-01,ARCADIS N.V.,0.69,current
NL0011872650,Eleva Capital SAS,2026-04-01,Basic-Fit N.V.,0.5,current
NL0011821392,Marshall Wace LLP,2026-04-01,Signify N.V.,1.79,current
NL0010801007,Capital Fund Management S.A.,2026-03-31,IMCD N.V.,0.62,current
NL0011821392,Citadel Advisors LLC,2026-03-31,Signify N.V.,2.4,current
NL0011821392,Eleva Capital SAS,2026-03-31,Signify N.V.,1.21,current
NL0012969182,"AQR Capital Management, LLC",2026-03-30,Adyen N.V.,0.9,current
NL0011821392,Eleva Capital SAS,2026-03-30,Signify N.V.,1.05,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-03-30,DSM-Firmenich AG,0.91,current
NL0011821392,Marshall Wace LLP,2026-03-30,Signify N.V.,1.87,current
