position_holder,net_short_position,issuer_name,isin,position_date,source
Citadel Advisors LLC,1.5,Signify N.V.,NL0011821392,2026-05-08,current
Davidson Kempner Capital Management LP,1.72,Akzo Nobel N.V.,NL0013267909,2026-05-08,current
"Two Sigma Investments, LP",0.75,Pharming Group N.V.,NL0010391025,2026-05-08,current
Walleye Capital LLC,0.53,Pharming Group N.V.,NL0010391025,2026-05-08,current
Lazard Asset Management LLC,0.76,Pharming Group N.V.,NL0010391025,2026-05-07,current
Marshall Wace LLP,1.69,Signify N.V.,NL0011821392,2026-05-07,current
Capital Fund Management S.A.,0.79,IMCD N.V.,NL0010801007,2026-05-06,current
Citadel Advisors LLC,1.41,Signify N.V.,NL0011821392,2026-05-06,current
Ilex Capital Partners (UK) LLP,1.4,DSM-Firmenich AG,CH1216478797,2026-05-06,current
Marshall Wace LLP,0.69,CVC Capital Partners plc,JE00BRX98089,2026-05-06,current
"PDT Partners, LLC",0.77,IMCD N.V.,NL0010801007,2026-05-06,current
"PDT Partners, LLC",0.9,Signify N.V.,NL0011821392,2026-05-06,current
Citadel Advisors LLC,1.36,Signify N.V.,NL0011821392,2026-05-05,current
"D. E. Shaw & Co., L.P.",0.98,Basic-Fit N.V.,NL0011872650,2026-05-05,current
JPMorgan Asset Management (UK) Ltd.,1.09,TomTom N.V.,NL0013332471,2026-05-05,current
Marshall Wace LLP,1.76,Signify N.V.,NL0011821392,2026-05-05,current
Sculptor Capital Management Europe Limited,0.65,Basic-Fit N.V.,NL0011872650,2026-05-05,current
Capital Fund Management S.A.,0.81,IMCD N.V.,NL0010801007,2026-05-04,current
Davidson Kempner Capital Management LP,1.61,Akzo Nobel N.V.,NL0013267909,2026-05-04,current
"D. E. Shaw & Co., L.P.",0.57,ARCADIS N.V.,NL0006237562,2026-04-30,current
Marshall Wace LLP,0.89,PostNL N.V.,NL0009739416,2026-04-30,current
Marshall Wace LLP,0.86,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-04-30,current
"PDT Partners, LLC",0.89,Signify N.V.,NL0011821392,2026-04-30,current
Qube Research & Technologies Ltd.,0.6,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-04-30,current
Sculptor Capital Management Europe Limited,0.59,Basic-Fit N.V.,NL0011872650,2026-04-30,current
White Creek Capital LLP,0.56,ARCADIS N.V.,NL0006237562,2026-04-30,current
Citadel Advisors LLC,1.29,Signify N.V.,NL0011821392,2026-04-29,current
Citadel Advisors LLC,0.9,Sligro Food Group N.V.,NL0000817179,2026-04-29,current
"D. E. Shaw & Co., L.P.",0.79,Wolters Kluwer N.V.,NL0000395903,2026-04-29,current
Marshall Wace LLP,0.71,CVC Capital Partners plc,JE00BRX98089,2026-04-29,current
Marshall Wace LLP,0.9,PostNL N.V.,NL0009739416,2026-04-29,current
"PDT Partners, LLC",0.9,Signify N.V.,NL0011821392,2026-04-29,current
Citadel Advisors LLC,1.32,Signify N.V.,NL0011821392,2026-04-28,current
JPMorgan Asset Management (UK) Ltd.,1.17,TomTom N.V.,NL0013332471,2026-04-28,current
Marshall Wace LLP,1.8,Signify N.V.,NL0011821392,2026-04-28,current
Marshall Wace LLP,0.98,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-04-28,current
"AQR Capital Management, LLC",1.27,Adyen N.V.,NL0012969182,2026-04-27,current
Citadel Advisors LLC,1.43,Signify N.V.,NL0011821392,2026-04-27,current
Ilex Capital Partners (UK) LLP,1.3,DSM-Firmenich AG,CH1216478797,2026-04-27,current
JPMorgan Asset Management (UK) Ltd.,2.15,Fugro N.V.,NL00150003E1,2026-04-27,current
JPMorgan Asset Management (UK) Ltd.,2.06,Fugro N.V.,NL00150003E1,2026-04-24,current
Linden Advisors LP,0.82,Basic-Fit N.V.,NL0011872650,2026-04-24,current
Marshall Wace LLP,1.04,The Magnum Ice Cream Company N.V.,NL0015002MS2,2026-04-24,current
Citadel Advisors LLC,1.68,Signify N.V.,NL0011821392,2026-04-23,current
Citadel Advisors LLC,0.8,Sligro Food Group N.V.,NL0000817179,2026-04-23,current
Eleva Capital SAS,0.84,Basic-Fit N.V.,NL0011872650,2026-04-23,current
