position_holder,net_short_position,isin,issuer_name,position_date,source
Qube Research & Technologies Ltd.,0.6,CY0200751713,Theon International Plc,2026-03-03,current
Voleon Capital Management LP,2.01,NL0012817175,Alfen N.V.,2026-03-03,current
Citadel Advisors LLC,1.7,NL0011821392,Signify N.V.,2026-03-02,current
"D. E. Shaw & Co., L.P.",0.69,NL0012866412,BE Semiconductor Industries N.V.,2026-03-02,current
"D. E. Shaw & Co., L.P.",0.7,NL0000395903,Wolters Kluwer N.V.,2026-03-02,current
"Two Sigma Investments, LP",0.59,CY0200751713,Theon International Plc,2026-03-02,current
Voleon Capital Management LP,1.95,NL0012817175,Alfen N.V.,2026-03-02,current
"BlackRock Advisors, LLC",0.69,NL0010801007,IMCD N.V.,2026-02-27,current
"BlackRock Financial Management, Inc.",1.18,NL0010801007,IMCD N.V.,2026-02-27,current
Citadel Advisors LLC,0.5,NL0015002K83,Havas N.V.,2026-02-27,current
Marshall Wace LLP,0.51,NL0000009082,Koninklijke KPN N.V.,2026-02-27,current
Marshall Wace LLP,1.88,NL0011821392,Signify N.V.,2026-02-27,current
"Two Sigma Investments, LP",0.81,LU2290522684,InPost S.A.,2026-02-27,current
"AQR Capital Management, LLC",0.71,NL0006237562,ARCADIS N.V.,2026-02-26,current
Citadel Advisors Europe Limited,1.0,NL0011821392,Signify N.V.,2026-02-26,current
"D. E. Shaw & Co., L.P.",1.38,NL0012817175,Alfen N.V.,2026-02-26,current
Marshall Wace LLP,1.9,NL0011821392,Signify N.V.,2026-02-26,current
Marshall Wace LLP,1.01,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-02-26,current
"PDT Partners, LLC",0.78,NL0011821392,Signify N.V.,2026-02-26,current
AKO Capital LLP,1.14,NL0013267909,Akzo Nobel N.V.,2026-02-25,current
Ilex Capital Partners (UK) LLP,1.12,CH1216478797,DSM-Firmenich AG,2026-02-25,current
"BlackRock Financial Management, Inc.",1.29,NL0010801007,IMCD N.V.,2026-02-24,current
"D. E. Shaw & Co., L.P.",0.7,NL0006237562,ARCADIS N.V.,2026-02-24,current
Davidson Kempner Capital Management LP,1.31,NL0013267909,Akzo Nobel N.V.,2026-02-24,current
Citadel Advisors LLC,0.61,NL0009739416,PostNL N.V.,2026-02-23,current
Citadel Advisors LLC,1.63,NL0011821392,Signify N.V.,2026-02-23,current
Marshall Wace LLP,0.91,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-02-23,current
"PDT Partners, LLC",0.8,NL0011821392,Signify N.V.,2026-02-23,current
Citadel Advisors LLC,1.58,NL0011821392,Signify N.V.,2026-02-20,current
"D. E. Shaw & Co., L.P.",0.6,NL0000395903,Wolters Kluwer N.V.,2026-02-20,current
"Elliott Investment Management, L.P",0.7,GB00BP6MXD84,Shell plc,2026-02-20,current
Marshall Wace LLP,1.84,NL0011821392,Signify N.V.,2026-02-20,current
Squarepoint Ops LLC,1.17,NL0006237562,ARCADIS N.V.,2026-02-20,current
"D. E. Shaw & Co., L.P.",1.48,NL0012817175,Alfen N.V.,2026-02-19,current
"D. E. Shaw & Co., L.P.",0.62,NL0006237562,ARCADIS N.V.,2026-02-19,current
"Two Sigma Investments, LP",0.7,LU2290522684,InPost S.A.,2026-02-19,current
Voleon Capital Management LP,1.84,NL0012817175,Alfen N.V.,2026-02-19,current
"BlackRock Financial Management, Inc.",1.39,NL0010801007,IMCD N.V.,2026-02-18,current
Citadel Advisors LLC,1.62,NL0011821392,Signify N.V.,2026-02-18,current
Davidson Kempner Capital Management LP,1.23,NL0013267909,Akzo Nobel N.V.,2026-02-18,current
JPMorgan Asset Management (UK) Ltd.,0.72,NL0010801007,IMCD N.V.,2026-02-18,current
Marshall Wace LLP,0.81,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-02-18,current
"PDT Partners, LLC",0.63,NL0010801007,IMCD N.V.,2026-02-18,current
Voleon Capital Management LP,1.77,NL0012817175,Alfen N.V.,2026-02-18,current
"WorldQuant, LLC",3.25,NL0012817175,Alfen N.V.,2026-02-18,current
Citadel Advisors LLC,0.58,NL0000289213,Wereldhave N.V.,2026-02-17,current
"D. E. Shaw & Co., L.P.",0.59,NL0000395903,Wolters Kluwer N.V.,2026-02-17,current
Eleva Capital SAS,0.92,NL0011821392,Signify N.V.,2026-02-17,current
Ilex Capital Partners (UK) LLP,1.07,CH1216478797,DSM-Firmenich AG,2026-02-17,current
Voleon Capital Management LP,1.68,NL0012817175,Alfen N.V.,2026-02-17,current
"WorldQuant, LLC",3.11,NL0012817175,Alfen N.V.,2026-02-17,current
Citadel Advisors LLC,0.6,NL0000289213,Wereldhave N.V.,2026-02-16,current
"D. E. Shaw & Co., L.P.",0.6,NL0000395903,Wolters Kluwer N.V.,2026-02-16,current
Ilex Capital Partners (UK) LLP,1.12,CH1216478797,DSM-Firmenich AG,2026-02-16,current
Marshall Wace LLP,0.7,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-02-16,current
"AQR Capital Management, LLC",0.74,NL0013267909,Akzo Nobel N.V.,2026-02-13,current
"Connor, Clark & Lunn Investment Management Ltd.",0.68,LU2290522684,InPost S.A.,2026-02-13,current
"D. E. Shaw & Co., L.P.",0.59,NL0000395903,Wolters Kluwer N.V.,2026-02-13,current
Marshall Wace LLP,0.79,NL0009739416,PostNL N.V.,2026-02-13,current
Marshall Wace LLP,1.71,NL0011821392,Signify N.V.,2026-02-13,current
Marshall Wace LLP,0.68,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-02-13,current
"Two Sigma Investments, LP",0.61,CY0200751713,Theon International Plc,2026-02-13,current
Voleon Capital Management LP,1.51,NL0012817175,Alfen N.V.,2026-02-13,current
"WorldQuant, LLC",3.01,NL0012817175,Alfen N.V.,2026-02-13,current
"BlackRock Advisors, LLC",0.73,NL0010801007,IMCD N.V.,2026-02-12,current
"BlackRock Financial Management, Inc.",1.45,NL0010801007,IMCD N.V.,2026-02-12,current
Citadel Advisors LLC,1.58,NL0011821392,Signify N.V.,2026-02-12,current
Ilex Capital Partners (UK) LLP,1.38,CH1216478797,DSM-Firmenich AG,2026-02-12,current
Marshall Wace LLP,0.5,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-02-12,current
"PDT Partners, LLC",0.78,NL0011821392,Signify N.V.,2026-02-12,current
"Two Sigma Investments, LP",0.6,LU2290522684,InPost S.A.,2026-02-12,current
Voleon Capital Management LP,1.43,NL0012817175,Alfen N.V.,2026-02-12,current
