issuer_name,net_short_position,isin,position_holder,position_date,source
IMCD N.V.,1.06,NL0010801007,"BlackRock Financial Management, Inc.",2026-03-04,current
PostNL N.V.,0.7,NL0009739416,Citadel Advisors LLC,2026-03-04,current
Koninklijke KPN N.V.,0.64,NL0000009082,Marshall Wace LLP,2026-03-04,current
Signify N.V.,1.87,NL0011821392,Marshall Wace LLP,2026-03-04,current
IMCD N.V.,0.71,NL0010801007,"PDT Partners, LLC",2026-03-04,current
Signify N.V.,0.8,NL0011821392,"PDT Partners, LLC",2026-03-04,current
Theon International Plc,0.59,CY0200751713,Qube Research & Technologies Ltd.,2026-03-04,current
InPost S.A.,0.9,LU2290522684,"Two Sigma Investments, LP",2026-03-04,current
DSM-Firmenich AG,1.03,CH1216478797,Ilex Capital Partners (UK) LLP,2026-03-03,current
Pharming Group N.V.,0.77,NL0010391025,Lazard Asset Management LLC,2026-03-03,current
PostNL N.V.,0.69,NL0009739416,Marshall Wace LLP,2026-03-03,current
Signify N.V.,1.92,NL0011821392,Marshall Wace LLP,2026-03-03,current
NSI N.V.,0.52,NL0012365084,Numeric Investors LLC,2026-03-03,current
Theon International Plc,0.6,CY0200751713,Qube Research & Technologies Ltd.,2026-03-03,current
Alfen N.V.,2.01,NL0012817175,Voleon Capital Management LP,2026-03-03,current
Signify N.V.,1.7,NL0011821392,Citadel Advisors LLC,2026-03-02,current
BE Semiconductor Industries N.V.,0.69,NL0012866412,"D. E. Shaw & Co., L.P.",2026-03-02,current
Wolters Kluwer N.V.,0.7,NL0000395903,"D. E. Shaw & Co., L.P.",2026-03-02,current
Theon International Plc,0.59,CY0200751713,"Two Sigma Investments, LP",2026-03-02,current
Alfen N.V.,1.95,NL0012817175,Voleon Capital Management LP,2026-03-02,current
IMCD N.V.,0.69,NL0010801007,"BlackRock Advisors, LLC",2026-02-27,current
IMCD N.V.,1.18,NL0010801007,"BlackRock Financial Management, Inc.",2026-02-27,current
Havas N.V.,0.5,NL0015002K83,Citadel Advisors LLC,2026-02-27,current
Koninklijke KPN N.V.,0.51,NL0000009082,Marshall Wace LLP,2026-02-27,current
Signify N.V.,1.88,NL0011821392,Marshall Wace LLP,2026-02-27,current
InPost S.A.,0.81,LU2290522684,"Two Sigma Investments, LP",2026-02-27,current
ARCADIS N.V.,0.71,NL0006237562,"AQR Capital Management, LLC",2026-02-26,current
Signify N.V.,1.0,NL0011821392,Citadel Advisors Europe Limited,2026-02-26,current
