position_date,isin,issuer_name,position_holder,net_short_position,source
2026-06-15,NL0013267909,Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",1.09,current
2026-06-12,NL0013267909,Akzo Nobel N.V.,"BlackRock Advisors, LLC",0.7,current
2026-06-12,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.56,current
2026-06-12,CH1216478797,DSM-Firmenich AG,Marshall Wace LLP,0.88,current
2026-06-12,NL0011821392,Signify N.V.,Marshall Wace LLP,1.48,current
2026-06-11,NL0011872650,Basic-Fit N.V.,Linden Advisors LP,0.75,current
2026-06-11,NL0012817175,Alfen N.V.,"WorldQuant, LLC",0.56,current
2026-06-10,NL0006237562,ARCADIS N.V.,"AQR Capital Management, LLC",0.89,current
2026-06-10,NL0011821392,Signify N.V.,Citadel Advisors LLC,1.6,current
2026-06-10,NL0011872650,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.83,current
2026-06-10,NL0010391025,Pharming Group N.V.,Walleye Capital LLC,1.1,current
