isin,position_holder,issuer_name,net_short_position,position_date,source
NL0000387058,"Marble Arch Investments, LP",TomTom N.V.,0.78,2014-02-18,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,2.26,2014-02-17,archive
NL0000387058,AKO Capital LLP,TomTom N.V.,2.38,2014-02-14,archive
NL0000387058,"Marble Arch Investments, LP",TomTom N.V.,0.96,2014-02-14,archive
NL0009269109,"BlackRock Institutional Trust Company, National Association",Koninklijke Heijmans N.V.,0.99,2014-02-13,archive
NL0000387058,"Marble Arch Investments, LP",TomTom N.V.,1.15,2014-02-13,archive
NL0000352565,The Children's Investment Fund Management (UK) LLP,Fugro N.V.,0.62,2014-02-13,archive
NL0009269109,BlackRock Advisors (UK) Limited,Koninklijke Heijmans N.V.,0.49,2014-02-12,archive
NL0000352565,The Children's Investment Fund Management (UK) LLP,Fugro N.V.,0.55,2014-02-12,archive
NL0000352565,Adelphi Capital LLP,Fugro N.V.,0.66,2014-02-11,archive
NL0000387058,"Cadian Capital Management GP, LLC",TomTom N.V.,0.77,2014-02-11,archive
NL0000352565,Marshall Wace LLP,Fugro N.V.,0.5,2014-02-10,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,0.74,2014-02-07,archive
NL0000352565,TT International,Fugro N.V.,0.49,2014-02-07,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,3.51,2014-02-06,archive
NL0000352565,Citadel Europe LLP,Fugro N.V.,0.72,2014-02-06,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,0.89,2014-02-05,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,0.9,2014-02-03,archive
NL0009432491,Fil Investment Services (UK) Limited,Koninklijke Vopak N.V.,0.54,2014-01-31,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,0.89,2014-01-30,archive
LU0569974404,Adage Capital Management L.P.,Aperam S.A.,3.25,2014-01-29,archive
NL0000352565,Citadel Europe LLP,Fugro N.V.,0.83,2014-01-29,archive
NL0000352565,Egerton Capital (UK) LLP,Fugro N.V.,0.4,2014-01-29,archive
NL0009432491,Scopia Capital Management LP,Koninklijke Vopak N.V.,0.49,2014-01-29,archive
NL0009432491,Scopia Capital Management LP,Koninklijke Vopak N.V.,0.58,2014-01-28,archive
NL0000337319,JPMorgan Asset Management (UK) Ltd.,Koninklijke BAM Groep N.V.,0.54,2014-01-27,archive
NL0000352565,Adelphi Capital LLP,Fugro N.V.,0.58,2014-01-24,archive
NL0010391025,Susquehanna International Holdings LLC,Pharming Group N.V.,0.16,2014-01-24,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.68,2014-01-23,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,0.96,2014-01-23,archive
NL0010391025,Susquehanna International Holdings LLC,Pharming Group N.V.,0.5,2014-01-23,archive
NL0009269109,"BlackRock Institutional Trust Company, National Association",Koninklijke Heijmans N.V.,1.09,2014-01-20,archive
NL0000352565,Egerton Capital (UK) LLP,Fugro N.V.,0.58,2014-01-17,archive
NL0009269109,BlackRock Advisors (UK) Limited,Koninklijke Heijmans N.V.,0.59,2014-01-15,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.7,2014-01-15,archive
NL0010583399,Susquehanna International Holdings LLC,Corbion N.V.,1.04,2014-01-15,archive
NL0000352565,BlackRock Investment Management (UK) Limited,Fugro N.V.,0.69,2014-01-14,archive
NL0000387058,"Cadian Capital Management GP, LLC",TomTom N.V.,0.85,2014-01-14,archive
NL0000387058,"Cadian Capital Management GP, LLC",TomTom N.V.,0.73,2014-01-10,archive
NL0000337319,Saemor Capital B.V.,Koninklijke BAM Groep N.V.,0.49,2014-01-10,archive
NL0000352565,"AQR Capital Management, LLC",Fugro N.V.,1.5,2014-01-09,archive
NL0000360618,Marshall Wace LLP,SBM Offshore N.V.,0.44,2014-01-09,archive
