isin,position_holder,issuer_name,position_date,net_short_position,source
NL0010391025,Lazard Asset Management LLC,Pharming Group N.V.,2026-03-03,0.77,current
NL0009739416,Marshall Wace LLP,PostNL N.V.,2026-03-03,0.69,current
NL0011821392,Marshall Wace LLP,Signify N.V.,2026-03-03,1.92,current
NL0012365084,Numeric Investors LLC,NSI N.V.,2026-03-03,0.52,current
CY0200751713,Qube Research & Technologies Ltd.,Theon International Plc,2026-03-03,0.6,current
NL0012817175,Voleon Capital Management LP,Alfen N.V.,2026-03-03,2.01,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,2026-03-02,1.7,current
NL0012866412,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,2026-03-02,0.69,current
NL0000395903,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,2026-03-02,0.7,current
CY0200751713,"Two Sigma Investments, LP",Theon International Plc,2026-03-02,0.59,current
NL0012817175,Voleon Capital Management LP,Alfen N.V.,2026-03-02,1.95,current
NL0010801007,"BlackRock Advisors, LLC",IMCD N.V.,2026-02-27,0.69,current
NL0010801007,"BlackRock Financial Management, Inc.",IMCD N.V.,2026-02-27,1.18,current
NL0015002K83,Citadel Advisors LLC,Havas N.V.,2026-02-27,0.5,current
NL0000009082,Marshall Wace LLP,Koninklijke KPN N.V.,2026-02-27,0.51,current
NL0011821392,Marshall Wace LLP,Signify N.V.,2026-02-27,1.88,current
LU2290522684,"Two Sigma Investments, LP",InPost S.A.,2026-02-27,0.81,current
NL0006237562,"AQR Capital Management, LLC",ARCADIS N.V.,2026-02-26,0.71,current
NL0011821392,Citadel Advisors Europe Limited,Signify N.V.,2026-02-26,1.0,current
NL0012817175,"D. E. Shaw & Co., L.P.",Alfen N.V.,2026-02-26,1.38,current
NL0011821392,Marshall Wace LLP,Signify N.V.,2026-02-26,1.9,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-02-26,1.01,current
NL0011821392,"PDT Partners, LLC",Signify N.V.,2026-02-26,0.78,current
NL0013267909,AKO Capital LLP,Akzo Nobel N.V.,2026-02-25,1.14,current
CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-02-25,1.12,current
NL0010801007,"BlackRock Financial Management, Inc.",IMCD N.V.,2026-02-24,1.29,current
NL0006237562,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,2026-02-24,0.7,current
NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-02-24,1.31,current
NL0009739416,Citadel Advisors LLC,PostNL N.V.,2026-02-23,0.61,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,2026-02-23,1.63,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-02-23,0.91,current
NL0011821392,"PDT Partners, LLC",Signify N.V.,2026-02-23,0.8,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,2026-02-20,1.58,current
NL0000395903,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,2026-02-20,0.6,current
GB00BP6MXD84,"Elliott Investment Management, L.P",Shell plc,2026-02-20,0.7,current
NL0011821392,Marshall Wace LLP,Signify N.V.,2026-02-20,1.84,current
NL0006237562,Squarepoint Ops LLC,ARCADIS N.V.,2026-02-20,1.17,current
NL0012817175,"D. E. Shaw & Co., L.P.",Alfen N.V.,2026-02-19,1.48,current
NL0006237562,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,2026-02-19,0.62,current
LU2290522684,"Two Sigma Investments, LP",InPost S.A.,2026-02-19,0.7,current
NL0012817175,Voleon Capital Management LP,Alfen N.V.,2026-02-19,1.84,current
NL0010801007,"BlackRock Financial Management, Inc.",IMCD N.V.,2026-02-18,1.39,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,2026-02-18,1.62,current
NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,2026-02-18,1.23,current
NL0010801007,JPMorgan Asset Management (UK) Ltd.,IMCD N.V.,2026-02-18,0.72,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-02-18,0.81,current
NL0010801007,"PDT Partners, LLC",IMCD N.V.,2026-02-18,0.63,current
NL0012817175,Voleon Capital Management LP,Alfen N.V.,2026-02-18,1.77,current
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2026-02-18,3.25,current
NL0000289213,Citadel Advisors LLC,Wereldhave N.V.,2026-02-17,0.58,current
NL0000395903,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,2026-02-17,0.59,current
NL0011821392,Eleva Capital SAS,Signify N.V.,2026-02-17,0.92,current
CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-02-17,1.07,current
NL0012817175,Voleon Capital Management LP,Alfen N.V.,2026-02-17,1.68,current
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2026-02-17,3.11,current
NL0000289213,Citadel Advisors LLC,Wereldhave N.V.,2026-02-16,0.6,current
NL0000395903,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,2026-02-16,0.6,current
CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-02-16,1.12,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-02-16,0.7,current
NL0013267909,"AQR Capital Management, LLC",Akzo Nobel N.V.,2026-02-13,0.74,current
NL0000395903,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,2026-02-13,0.59,current
NL0009739416,Marshall Wace LLP,PostNL N.V.,2026-02-13,0.79,current
NL0011821392,Marshall Wace LLP,Signify N.V.,2026-02-13,1.71,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-02-13,0.68,current
CY0200751713,"Two Sigma Investments, LP",Theon International Plc,2026-02-13,0.61,current
NL0012817175,Voleon Capital Management LP,Alfen N.V.,2026-02-13,1.51,current
NL0012817175,"WorldQuant, LLC",Alfen N.V.,2026-02-13,3.01,current
NL0010801007,"BlackRock Advisors, LLC",IMCD N.V.,2026-02-12,0.73,current
NL0010801007,"BlackRock Financial Management, Inc.",IMCD N.V.,2026-02-12,1.45,current
NL0011821392,Citadel Advisors LLC,Signify N.V.,2026-02-12,1.58,current
CH1216478797,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,2026-02-12,1.38,current
NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,2026-02-12,0.5,current
