position_holder,isin,issuer_name,position_date,net_short_position,source
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,2026-03-05,1.11,current
Qube Research & Technologies Ltd.,JE00BRX98089,CVC Capital Partners plc,2026-03-05,0.6,current
Qube Research & Technologies Ltd.,CY0200751713,Theon International Plc,2026-03-05,0.64,current
Acadian Asset Management LLC.,NL0010801007,IMCD N.V.,2026-03-04,0.61,current
"AQR Capital Management, LLC",NL0000852564,Aalberts N.V.,2026-03-04,0.52,current
"AQR Capital Management, LLC",NL0011821392,Signify N.V.,2026-03-04,1.03,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,2026-03-04,1.06,current
Marshall Wace LLP,NL0011821392,Signify N.V.,2026-03-04,1.87,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,2026-03-04,0.71,current
"PDT Partners, LLC",NL0011821392,Signify N.V.,2026-03-04,0.8,current
