position_date,isin,position_holder,issuer_name,net_short_position,source
2026-06-10,NL0006237562,"AQR Capital Management, LLC",ARCADIS N.V.,0.89,current
2026-06-10,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.6,current
2026-06-10,NL0011872650,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.83,current
2026-06-10,NL0010391025,Walleye Capital LLC,Pharming Group N.V.,1.1,current
2026-06-09,NL0010801007,Capital Fund Management S.A.,IMCD N.V.,0.9,current
2026-06-09,NL0011821392,Citadel Advisors LLC,Signify N.V.,1.59,current
2026-06-09,NL0000289213,Citadel Advisors LLC,Wereldhave N.V.,1.0,current
2026-06-09,NL0013267909,LMR Partners LLP,Akzo Nobel N.V.,1.12,current
2026-06-09,NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.9,current
2026-06-09,NL0012817175,Millennium International Management LP,Alfen N.V.,0.5,current
2026-06-09,CY0200751713,"Two Sigma Investments, LP",Theon International Plc,0.77,current
2026-06-08,CH1216478797,Citadel Advisors LLC,DSM-Firmenich AG,1.01,current
2026-06-08,NL0013267909,LMR Partners LLP,Akzo Nobel N.V.,1.08,current
2026-06-08,NL0011821392,"PDT Partners, LLC",Signify N.V.,1.2,current
2026-06-08,LU2290522684,"Two Sigma Investments, LP",InPost S.A.,1.09,current
2026-06-05,NL0011821392,"BlackRock Institutional Trust Company, National Association",Signify N.V.,0.51,current
2026-06-05,NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.24,current
2026-06-05,NL0011821392,Marshall Wace LLP,Signify N.V.,1.59,current
2026-06-05,NL0015002MS2,Qube Research & Technologies Ltd.,The Magnum Ice Cream Company N.V.,0.92,current
2026-06-04,NL0012969182,"AQR Capital Management, LLC",Adyen N.V.,1.07,current
2026-06-04,NL0013267909,"BlackRock Advisors, LLC",Akzo Nobel N.V.,0.65,current
2026-06-04,NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.17,current
2026-06-04,NL0013267909,LMR Partners LLP,Akzo Nobel N.V.,0.91,current
2026-06-04,NL0011821392,Squarepoint Ops LLC,Signify N.V.,0.62,current
2026-06-03,JE00BRX98089,"AQR Capital Management, LLC",CVC Capital Partners plc,0.69,current
2026-06-03,NL0012969182,Capital Fund Management S.A.,Adyen N.V.,0.52,current
2026-06-03,NL0013267909,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,1.02,current
2026-06-03,NL0013267909,LMR Partners LLP,Akzo Nobel N.V.,0.83,current
2026-06-03,CH1216478797,Marshall Wace LLP,DSM-Firmenich AG,0.91,current
2026-06-03,NL0015002MS2,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,0.81,current
2026-06-03,NL0010391025,Whitebox Advisors LLC,Pharming Group N.V.,0.58,current
2026-06-02,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,2.2,current
2026-06-02,NL0011872650,Sculptor Capital Management Europe Limited,Basic-Fit N.V.,0.79,current
2026-06-02,NL0010391025,Walleye Capital LLC,Pharming Group N.V.,1.02,current
2026-06-01,NL0012365084,Numeric Investors LLC,NSI N.V.,0.81,current
2026-05-29,NL0000852564,"AQR Capital Management, LLC",Aalberts N.V.,0.59,current
2026-05-29,NL0010801007,"BlackRock Financial Management, Inc.",IMCD N.V.,0.69,current
2026-05-29,NL0011821392,"BlackRock Financial Management, Inc.",Signify N.V.,0.83,current
