issuer_name,isin,position_holder,net_short_position,position_date,source
IMCD N.V.,NL0010801007,"PDT Partners, LLC",0.9,2026-03-24,current
CVC Capital Partners plc,JE00BRX98089,Qube Research & Technologies Ltd.,0.81,2026-03-24,current
Signify N.V.,NL0011821392,Qube Research & Technologies Ltd.,0.89,2026-03-24,current
IMCD N.V.,NL0010801007,Squarepoint Ops LLC,0.59,2026-03-24,current
InPost S.A.,LU2290522684,"Two Sigma Investments, LP",1.44,2026-03-24,current
Theon International Plc,CY0200751713,"Two Sigma Investments, LP",0.6,2026-03-24,current
Alfen N.V.,NL0012817175,Voleon Capital Management LP,2.0,2026-03-24,current
Envipco Holding N.V.,NL0015000GX8,Actus Ray Partners Limited,0.62,2026-03-23,current
Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",0.72,2026-03-23,current
IMCD N.V.,NL0010801007,"Arrowstreet Capital, Limited Partnership",1.01,2026-03-23,current
Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",0.6,2026-03-23,current
Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,1.19,2026-03-23,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,2.3,2026-03-23,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.18,2026-03-23,current
PostNL N.V.,NL0009739416,"D. E. Shaw & Co., L.P.",0.69,2026-03-23,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,GLG Partners LP,0.51,2026-03-23,current
PostNL N.V.,NL0009739416,Marshall Wace LLP,0.7,2026-03-23,current
Theon International Plc,CY0200751713,Qube Research & Technologies Ltd.,1.01,2026-03-23,current
ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,1.05,2026-03-23,current
IMCD N.V.,NL0010801007,Squarepoint Ops LLC,0.6,2026-03-23,current
InPost S.A.,LU2290522684,"Two Sigma Investments, LP",1.36,2026-03-23,current
Signify N.V.,NL0011821392,"BlackRock Financial Management, Inc.",0.58,2026-03-20,current
Adyen N.V.,NL0012969182,Capital Fund Management S.A.,0.7,2026-03-20,current
BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",0.59,2026-03-20,current
DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,0.75,2026-03-20,current
Randstad N.V.,NL0000379121,Marshall Wace LLP,0.83,2026-03-20,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,1.52,2026-03-20,current
Signify N.V.,NL0011821392,Millennium Capital (DIFC) Limited,0.8,2026-03-20,current
Signify N.V.,NL0011821392,Qube Research & Technologies Ltd.,0.91,2026-03-20,current
Theon International Plc,CY0200751713,Qube Research & Technologies Ltd.,0.99,2026-03-20,current
IMCD N.V.,NL0010801007,Squarepoint Ops LLC,0.57,2026-03-20,current
IMCD N.V.,NL0010801007,"Two Sigma Investments, LP",0.81,2026-03-20,current
InPost S.A.,LU2290522684,"Two Sigma Investments, LP",1.26,2026-03-20,current
ING Groep N.V.,NL0011821202,Viking Global Investors LP,0.51,2026-03-20,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.31,2026-03-19,current
ARCADIS N.V.,NL0006237562,"AQR Capital Management, LLC",0.8,2026-03-19,current
CVC Capital Partners plc,JE00BRX98089,Marshall Wace LLP,0.6,2026-03-19,current
Randstad N.V.,NL0000379121,Marshall Wace LLP,0.73,2026-03-19,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,1.43,2026-03-19,current
TomTom N.V.,NL0013332471,Winton Capital Management Limited,0.61,2026-03-19,current
Alfen N.V.,NL0012817175,"WorldQuant, LLC",2.83,2026-03-19,current
IMCD N.V.,NL0010801007,"WorldQuant, LLC",0.6,2026-03-19,current
Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",0.6,2026-03-18,current
Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,1.21,2026-03-18,current
Akzo Nobel N.V.,NL0013267909,"Empyrean Capital Overseas Master Fund, Ltd",0.52,2026-03-18,current
DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,0.87,2026-03-18,current
Theon International Plc,CY0200751713,Qube Research & Technologies Ltd.,0.57,2026-03-18,current
InPost S.A.,LU2290522684,"Two Sigma Investments, LP",1.11,2026-03-18,current
Alfen N.V.,NL0012817175,Voleon Capital Management LP,1.97,2026-03-18,current
Alfen N.V.,NL0012817175,"WorldQuant, LLC",2.98,2026-03-18,current
CVC Capital Partners plc,JE00BRX98089,Qube Research & Technologies Ltd.,0.71,2026-03-17,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,1.3,2026-03-16,current
IMCD N.V.,NL0010801007,"PDT Partners, LLC",0.8,2026-03-16,current
IMCD N.V.,NL0010801007,Squarepoint Ops LLC,0.63,2026-03-16,current
Alfen N.V.,NL0012817175,"WorldQuant, LLC",3.08,2026-03-16,current
Adyen N.V.,NL0012969182,"AQR Capital Management, LLC",0.52,2026-03-13,current
DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,0.98,2026-03-13,current
CVC Capital Partners plc,JE00BRX98089,Marshall Wace LLP,0.52,2026-03-13,current
Randstad N.V.,NL0000379121,Marshall Wace LLP,0.61,2026-03-13,current
Alfen N.V.,NL0012817175,"WorldQuant, LLC",3.14,2026-03-13,current
IMCD N.V.,NL0010801007,"WorldQuant, LLC",0.52,2026-03-13,current
Envipco Holding N.V.,NL0015000GX8,Actus Ray Partners Limited,0.54,2026-03-12,current
Akzo Nobel N.V.,NL0013267909,Albar Capital Partners LLP,0.64,2026-03-12,current
Signify N.V.,NL0011821392,Canada Pension Plan Investment Board,0.65,2026-03-12,current
IMCD N.V.,NL0010801007,JPMorgan Asset Management (UK) Ltd.,0.64,2026-03-12,current
ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,1.1,2026-03-12,current
IMCD N.V.,NL0010801007,Squarepoint Ops LLC,0.5,2026-03-12,current
Signify N.V.,NL0011821392,Canada Pension Plan Investment Board,0.57,2026-03-11,current
Adyen N.V.,NL0012969182,Capital Fund Management S.A.,0.6,2026-03-11,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,2.24,2026-03-11,current
BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",0.69,2026-03-11,current
Signify N.V.,NL0011821392,Marshall Wace LLP,1.91,2026-03-11,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,2.17,2026-03-10,current
BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",0.7,2026-03-10,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.96,2026-03-10,current
Koninklijke KPN N.V.,NL0000009082,Marshall Wace LLP,0.72,2026-03-10,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,1.21,2026-03-10,current
InPost S.A.,LU2290522684,"Two Sigma Investments, LP",1.03,2026-03-10,current
TomTom N.V.,NL0013332471,Winton Capital Management Limited,0.52,2026-03-10,current
IMCD N.V.,NL0010801007,Acadian Asset Management LLC.,0.72,2026-03-09,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.21,2026-03-09,current
Adyen N.V.,NL0012969182,Capital Fund Management S.A.,0.51,2026-03-09,current
Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,1.18,2026-03-09,current
PostNL N.V.,NL0009739416,Citadel Advisors LLC,0.69,2026-03-09,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,2.06,2026-03-09,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.29,2026-03-09,current
IMCD N.V.,NL0010801007,"D. E. Shaw & Co., L.P.",0.5,2026-03-09,current
IMCD N.V.,NL0010801007,"Two Sigma Investments, LP",0.71,2026-03-09,current
Universal Music Group N.V.,NL0015000IY2,"AQR Capital Management, LLC",0.6,2026-03-06,current
IMCD N.V.,NL0010801007,"BlackRock Advisors, LLC",0.7,2026-03-06,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,1.88,2026-03-06,current
Fugro N.V.,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,0.81,2026-03-06,current
ARCADIS N.V.,NL0006237562,Squarepoint Ops LLC,1.09,2026-03-06,current
IMCD N.V.,NL0010801007,"BlackRock Financial Management, Inc.",1.1,2026-03-05,current
Wereldhave N.V.,NL0000289213,Citadel Advisors LLC,0.63,2026-03-05,current
Randstad N.V.,NL0000379121,Marshall Wace LLP,0.5,2026-03-05,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,1.11,2026-03-05,current
CVC Capital Partners plc,JE00BRX98089,Qube Research & Technologies Ltd.,0.6,2026-03-05,current
Theon International Plc,CY0200751713,Qube Research & Technologies Ltd.,0.64,2026-03-05,current
IMCD N.V.,NL0010801007,Acadian Asset Management LLC.,0.61,2026-03-04,current
Aalberts N.V.,NL0000852564,"AQR Capital Management, LLC",0.52,2026-03-04,current
Signify N.V.,NL0011821392,"AQR Capital Management, LLC",1.03,2026-03-04,current
IMCD N.V.,NL0010801007,"BlackRock Financial Management, Inc.",1.06,2026-03-04,current
PostNL N.V.,NL0009739416,Citadel Advisors LLC,0.7,2026-03-04,current
Koninklijke KPN N.V.,NL0000009082,Marshall Wace LLP,0.64,2026-03-04,current
Signify N.V.,NL0011821392,Marshall Wace LLP,1.87,2026-03-04,current
IMCD N.V.,NL0010801007,"PDT Partners, LLC",0.71,2026-03-04,current
Signify N.V.,NL0011821392,"PDT Partners, LLC",0.8,2026-03-04,current
Theon International Plc,CY0200751713,Qube Research & Technologies Ltd.,0.59,2026-03-04,current
InPost S.A.,LU2290522684,"Two Sigma Investments, LP",0.9,2026-03-04,current
DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,1.03,2026-03-03,current
Pharming Group N.V.,NL0010391025,Lazard Asset Management LLC,0.77,2026-03-03,current
PostNL N.V.,NL0009739416,Marshall Wace LLP,0.69,2026-03-03,current
Signify N.V.,NL0011821392,Marshall Wace LLP,1.92,2026-03-03,current
NSI N.V.,NL0012365084,Numeric Investors LLC,0.52,2026-03-03,current
Theon International Plc,CY0200751713,Qube Research & Technologies Ltd.,0.6,2026-03-03,current
Alfen N.V.,NL0012817175,Voleon Capital Management LP,2.01,2026-03-03,current
Signify N.V.,NL0011821392,Citadel Advisors LLC,1.7,2026-03-02,current
BE Semiconductor Industries N.V.,NL0012866412,"D. E. Shaw & Co., L.P.",0.69,2026-03-02,current
Wolters Kluwer N.V.,NL0000395903,"D. E. Shaw & Co., L.P.",0.7,2026-03-02,current
Theon International Plc,CY0200751713,"Two Sigma Investments, LP",0.59,2026-03-02,current
Alfen N.V.,NL0012817175,Voleon Capital Management LP,1.95,2026-03-02,current
IMCD N.V.,NL0010801007,"BlackRock Advisors, LLC",0.69,2026-02-27,current
IMCD N.V.,NL0010801007,"BlackRock Financial Management, Inc.",1.18,2026-02-27,current
Koninklijke KPN N.V.,NL0000009082,Marshall Wace LLP,0.51,2026-02-27,current
Signify N.V.,NL0011821392,Marshall Wace LLP,1.88,2026-02-27,current
InPost S.A.,LU2290522684,"Two Sigma Investments, LP",0.81,2026-02-27,current
ARCADIS N.V.,NL0006237562,"AQR Capital Management, LLC",0.71,2026-02-26,current
Signify N.V.,NL0011821392,Citadel Advisors Europe Limited,1.0,2026-02-26,current
Alfen N.V.,NL0012817175,"D. E. Shaw & Co., L.P.",1.38,2026-02-26,current
Signify N.V.,NL0011821392,Marshall Wace LLP,1.9,2026-02-26,current
The Magnum Ice Cream Company N.V.,NL0015002MS2,Marshall Wace LLP,1.01,2026-02-26,current
Signify N.V.,NL0011821392,"PDT Partners, LLC",0.78,2026-02-26,current
Akzo Nobel N.V.,NL0013267909,AKO Capital LLP,1.14,2026-02-25,current
DSM-Firmenich AG,CH1216478797,Ilex Capital Partners (UK) LLP,1.12,2026-02-25,current
IMCD N.V.,NL0010801007,"BlackRock Financial Management, Inc.",1.29,2026-02-24,current
ARCADIS N.V.,NL0006237562,"D. E. Shaw & Co., L.P.",0.7,2026-02-24,current
