position_holder,net_short_position,isin,position_date,issuer_name,source
"D. E. Shaw & Co., L.P.",0.62,NL0006237562,2026-02-19,ARCADIS N.V.,current
"Two Sigma Investments, LP",0.7,LU2290522684,2026-02-19,InPost S.A.,current
Voleon Capital Management LP,1.84,NL0012817175,2026-02-19,Alfen N.V.,current
"BlackRock Financial Management, Inc.",1.39,NL0010801007,2026-02-18,IMCD N.V.,current
Citadel Advisors LLC,1.62,NL0011821392,2026-02-18,Signify N.V.,current
Davidson Kempner Capital Management LP,1.23,NL0013267909,2026-02-18,Akzo Nobel N.V.,current
JPMorgan Asset Management (UK) Ltd.,0.72,NL0010801007,2026-02-18,IMCD N.V.,current
Marshall Wace LLP,0.81,NL0015002MS2,2026-02-18,The Magnum Ice Cream Company N.V.,current
"PDT Partners, LLC",0.63,NL0010801007,2026-02-18,IMCD N.V.,current
UBS Asset Management (Americas) LLC,1.1,NL0013267909,2026-02-18,Akzo Nobel N.V.,current
Voleon Capital Management LP,1.77,NL0012817175,2026-02-18,Alfen N.V.,current
"WorldQuant, LLC",3.25,NL0012817175,2026-02-18,Alfen N.V.,current
Citadel Advisors LLC,0.58,NL0000289213,2026-02-17,Wereldhave N.V.,current
"D. E. Shaw & Co., L.P.",0.59,NL0000395903,2026-02-17,Wolters Kluwer N.V.,current
Eleva Capital SAS,0.92,NL0011821392,2026-02-17,Signify N.V.,current
Ilex Capital Partners (UK) LLP,1.07,CH1216478797,2026-02-17,DSM-Firmenich AG,current
UBS Asset Management (Americas) LLC,1.06,NL0013267909,2026-02-17,Akzo Nobel N.V.,current
Voleon Capital Management LP,1.68,NL0012817175,2026-02-17,Alfen N.V.,current
"WorldQuant, LLC",3.11,NL0012817175,2026-02-17,Alfen N.V.,current
Citadel Advisors LLC,0.6,NL0000289213,2026-02-16,Wereldhave N.V.,current
"D. E. Shaw & Co., L.P.",0.6,NL0000395903,2026-02-16,Wolters Kluwer N.V.,current
Ilex Capital Partners (UK) LLP,1.12,CH1216478797,2026-02-16,DSM-Firmenich AG,current
Marshall Wace LLP,0.7,NL0015002MS2,2026-02-16,The Magnum Ice Cream Company N.V.,current
