isin,net_short_position,position_date,position_holder,issuer_name,source
NL0011821392,2.06,2026-03-09,Citadel Advisors LLC,Signify N.V.,current
NL0012817175,1.29,2026-03-09,"D. E. Shaw & Co., L.P.",Alfen N.V.,current
NL0010801007,0.5,2026-03-09,"D. E. Shaw & Co., L.P.",IMCD N.V.,current
NL0013267909,0.51,2026-03-09,Millennium International Management LP,Akzo Nobel N.V.,current
NL0010801007,0.71,2026-03-09,"Two Sigma Investments, LP",IMCD N.V.,current
NL0011872650,0.51,2026-03-09,Wellington Management International Ltd.,Basic-Fit N.V.,current
NL0013267909,0.67,2026-03-06,"AQR Capital Management, LLC",Akzo Nobel N.V.,current
NL0015000IY2,0.6,2026-03-06,"AQR Capital Management, LLC",Universal Music Group N.V.,current
NL0010801007,0.7,2026-03-06,"BlackRock Advisors, LLC",IMCD N.V.,current
NL0011821392,1.88,2026-03-06,Citadel Advisors LLC,Signify N.V.,current
NL00150003E1,0.81,2026-03-06,JPMorgan Asset Management (UK) Ltd.,Fugro N.V.,current
NL0006237562,1.09,2026-03-06,Squarepoint Ops LLC,ARCADIS N.V.,current
NL00150003E1,0.59,2026-03-06,Voleon Capital Management LP,Fugro N.V.,current
NL0010801007,1.1,2026-03-05,"BlackRock Financial Management, Inc.",IMCD N.V.,current
NL0000289213,0.63,2026-03-05,Citadel Advisors LLC,Wereldhave N.V.,current
NL0000379121,0.5,2026-03-05,Marshall Wace LLP,Randstad N.V.,current
NL0015002MS2,1.11,2026-03-05,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
JE00BRX98089,0.6,2026-03-05,Qube Research & Technologies Ltd.,CVC Capital Partners plc,current
CY0200751713,0.64,2026-03-05,Qube Research & Technologies Ltd.,Theon International Plc,current
NL0010801007,0.61,2026-03-04,Acadian Asset Management LLC.,IMCD N.V.,current
NL0000852564,0.52,2026-03-04,"AQR Capital Management, LLC",Aalberts N.V.,current
NL0011821392,1.03,2026-03-04,"AQR Capital Management, LLC",Signify N.V.,current
NL0010801007,1.06,2026-03-04,"BlackRock Financial Management, Inc.",IMCD N.V.,current
NL0009739416,0.7,2026-03-04,Citadel Advisors LLC,PostNL N.V.,current
NL0000009082,0.64,2026-03-04,Marshall Wace LLP,Koninklijke KPN N.V.,current
NL0011821392,1.87,2026-03-04,Marshall Wace LLP,Signify N.V.,current
NL0010801007,0.71,2026-03-04,"PDT Partners, LLC",IMCD N.V.,current
NL0011821392,0.8,2026-03-04,"PDT Partners, LLC",Signify N.V.,current
CY0200751713,0.59,2026-03-04,Qube Research & Technologies Ltd.,Theon International Plc,current
LU2290522684,0.9,2026-03-04,"Two Sigma Investments, LP",InPost S.A.,current
CH1216478797,1.03,2026-03-03,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
NL0010391025,0.77,2026-03-03,Lazard Asset Management LLC,Pharming Group N.V.,current
NL0009739416,0.69,2026-03-03,Marshall Wace LLP,PostNL N.V.,current
NL0011821392,1.92,2026-03-03,Marshall Wace LLP,Signify N.V.,current
NL0012365084,0.52,2026-03-03,Numeric Investors LLC,NSI N.V.,current
CY0200751713,0.6,2026-03-03,Qube Research & Technologies Ltd.,Theon International Plc,current
NL0012817175,2.01,2026-03-03,Voleon Capital Management LP,Alfen N.V.,current
NL0015002IE0,1.68,2026-03-03,Voleon Capital Management LP,Avantium N.V.,current
NL0011821392,1.7,2026-03-02,Citadel Advisors LLC,Signify N.V.,current
NL0012866412,0.69,2026-03-02,"D. E. Shaw & Co., L.P.",BE Semiconductor Industries N.V.,current
NL0000395903,0.7,2026-03-02,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,current
CY0200751713,0.59,2026-03-02,"Two Sigma Investments, LP",Theon International Plc,current
NL0012817175,1.95,2026-03-02,Voleon Capital Management LP,Alfen N.V.,current
NL00150003E1,0.66,2026-03-02,Voleon Capital Management LP,Fugro N.V.,current
NL0010801007,0.69,2026-02-27,"BlackRock Advisors, LLC",IMCD N.V.,current
NL0010801007,1.18,2026-02-27,"BlackRock Financial Management, Inc.",IMCD N.V.,current
NL0015002K83,0.5,2026-02-27,Citadel Advisors LLC,Havas N.V.,current
NL0000009082,0.51,2026-02-27,Marshall Wace LLP,Koninklijke KPN N.V.,current
NL0011821392,1.88,2026-02-27,Marshall Wace LLP,Signify N.V.,current
LU2290522684,0.81,2026-02-27,"Two Sigma Investments, LP",InPost S.A.,current
NL00150003E1,0.7,2026-02-27,Voleon Capital Management LP,Fugro N.V.,current
NL0006237562,0.71,2026-02-26,"AQR Capital Management, LLC",ARCADIS N.V.,current
NL0011821392,1.0,2026-02-26,Citadel Advisors Europe Limited,Signify N.V.,current
NL0012817175,1.38,2026-02-26,"D. E. Shaw & Co., L.P.",Alfen N.V.,current
NL0011821392,1.9,2026-02-26,Marshall Wace LLP,Signify N.V.,current
NL0015002MS2,1.01,2026-02-26,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
NL00150003E1,0.66,2026-02-26,"PDT Partners, LLC",Fugro N.V.,current
NL0011821392,0.78,2026-02-26,"PDT Partners, LLC",Signify N.V.,current
NL0015002IE0,1.78,2026-02-26,Voleon Capital Management LP,Avantium N.V.,current
NL0013267909,1.14,2026-02-25,AKO Capital LLP,Akzo Nobel N.V.,current
CH1216478797,1.12,2026-02-25,Ilex Capital Partners (UK) LLP,DSM-Firmenich AG,current
NL0013267909,1.24,2026-02-25,UBS Asset Management (Americas) LLC,Akzo Nobel N.V.,current
NL0010801007,1.29,2026-02-24,"BlackRock Financial Management, Inc.",IMCD N.V.,current
NL0006237562,0.7,2026-02-24,"D. E. Shaw & Co., L.P.",ARCADIS N.V.,current
NL0013267909,1.31,2026-02-24,Davidson Kempner Capital Management LP,Akzo Nobel N.V.,current
NL0013267909,0.61,2026-02-24,Marshall Wace LLP,Akzo Nobel N.V.,current
NL0015002IE0,1.85,2026-02-24,Voleon Capital Management LP,Avantium N.V.,current
NL0009739416,0.61,2026-02-23,Citadel Advisors LLC,PostNL N.V.,current
NL0011821392,1.63,2026-02-23,Citadel Advisors LLC,Signify N.V.,current
NL0015002MS2,0.91,2026-02-23,Marshall Wace LLP,The Magnum Ice Cream Company N.V.,current
NL0011821392,0.8,2026-02-23,"PDT Partners, LLC",Signify N.V.,current
NL0011821392,1.58,2026-02-20,Citadel Advisors LLC,Signify N.V.,current
NL0000395903,0.6,2026-02-20,"D. E. Shaw & Co., L.P.",Wolters Kluwer N.V.,current
GB00BP6MXD84,0.7,2026-02-20,"Elliott Investment Management, L.P",Shell plc,current
NL0011821392,1.84,2026-02-20,Marshall Wace LLP,Signify N.V.,current
NL0006237562,1.17,2026-02-20,Squarepoint Ops LLC,ARCADIS N.V.,current
