position_holder,isin,issuer_name,net_short_position,position_date,source
Qube Research & Technologies Ltd.,NL0015002MS2,The Magnum Ice Cream Company N.V.,0.5,2026-04-08,current
"Two Sigma Investments, LP",NL0010801007,IMCD N.V.,0.79,2026-04-08,current
"BlackRock Advisors, LLC",NL0010801007,IMCD N.V.,0.66,2026-04-07,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,1.0,2026-04-07,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,0.76,2026-04-07,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2.41,2026-04-07,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,0.69,2026-04-07,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,1.46,2026-04-07,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,1.0,2026-04-02,current
"AQR Capital Management, LLC",JE00BRX98089,CVC Capital Partners plc,0.61,2026-04-02,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,0.99,2026-04-02,current
Citadel Advisors LLC,NL0000817179,Sligro Food Group N.V.,0.5,2026-04-02,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,0.7,2026-04-02,current
Eleva Capital SAS,NL0011872650,Basic-Fit N.V.,0.62,2026-04-02,current
"AQR Capital Management, LLC",NL0011821392,Signify N.V.,1.1,2026-04-01,current
"Arrowstreet Capital, Limited Partnership",NL0010801007,IMCD N.V.,1.21,2026-04-01,current
Canada Pension Plan Investment Board,NL0011821392,Signify N.V.,0.74,2026-04-01,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2.36,2026-04-01,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,0.69,2026-04-01,current
Eleva Capital SAS,NL0011872650,Basic-Fit N.V.,0.5,2026-04-01,current
Marshall Wace LLP,NL0011821392,Signify N.V.,1.79,2026-04-01,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,0.62,2026-03-31,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2.4,2026-03-31,current
Eleva Capital SAS,NL0011821392,Signify N.V.,1.21,2026-03-31,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,0.9,2026-03-30,current
Eleva Capital SAS,NL0011821392,Signify N.V.,1.05,2026-03-30,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,0.91,2026-03-30,current
Marshall Wace LLP,NL0011821392,Signify N.V.,1.87,2026-03-30,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,1.59,2026-03-30,current
Numeric Investors LLC,NL0012365084,NSI N.V.,0.61,2026-03-30,current
"Two Sigma Investments, LP",CY0200751713,Theon International Plc,0.7,2026-03-30,current
"AQR Capital Management, LLC",NL0006237562,ARCADIS N.V.,0.9,2026-03-27,current
"Arrowstreet Capital, Limited Partnership",NL0010801007,IMCD N.V.,1.12,2026-03-27,current
"BlackRock Financial Management, Inc.",NL0010801007,IMCD N.V.,1.09,2026-03-27,current
Capital Fund Management S.A.,NL0010801007,IMCD N.V.,0.51,2026-03-27,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,0.7,2026-03-27,current
"D. E. Shaw & Co., L.P.",NL0006237562,ARCADIS N.V.,0.69,2026-03-26,current
Marshall Wace LLP,NL0011821392,Signify N.V.,1.96,2026-03-26,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,1.5,2026-03-26,current
Voleon Capital Management LP,NL0010801007,IMCD N.V.,0.5,2026-03-26,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,0.8,2026-03-25,current
"AQR Capital Management, LLC",JE00BRX98089,CVC Capital Partners plc,0.5,2026-03-25,current
Ilex Capital Partners (UK) LLP,CH1216478797,DSM-Firmenich AG,0.82,2026-03-25,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,IMCD N.V.,0.56,2026-03-24,current
Lazard Asset Management LLC,NL0010391025,Pharming Group N.V.,1.14,2026-03-24,current
Marshall Wace LLP,NL0011821392,Signify N.V.,2.0,2026-03-24,current
Marshall Wace LLP,NL0015002MS2,The Magnum Ice Cream Company N.V.,1.6,2026-03-24,current
"PDT Partners, LLC",NL0010801007,IMCD N.V.,0.9,2026-03-24,current
"Two Sigma Investments, LP",LU2290522684,InPost S.A.,1.44,2026-03-24,current
"Two Sigma Investments, LP",CY0200751713,Theon International Plc,0.6,2026-03-24,current
"AQR Capital Management, LLC",NL0012969182,Adyen N.V.,0.72,2026-03-23,current
"Arrowstreet Capital, Limited Partnership",NL0010801007,IMCD N.V.,1.01,2026-03-23,current
"BlackRock Financial Management, Inc.",NL0011821392,Signify N.V.,0.6,2026-03-23,current
Citadel Advisors LLC,NL0011821392,Signify N.V.,2.3,2026-03-23,current
