issuer_name,isin,position_date,position_holder,net_short_position,source
Koninklijke KPN N.V.,NL0000009082,2013-05-09,TFG Asset Management UK LLP,0.53,archive
PostNL N.V.,NL0009739416,2013-05-08,Archipel Asset Management AB,0.67,archive
Wereldhave N.V.,NL0000289213,2013-05-08,"BlackRock Institutional Trust Company, National Association",0.59,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-08,Marshall Wace LLP,0.83,archive
AMG Critical Materials N.V.,NL0000888691,2013-05-08,Oxford Asset Management,0.58,archive
Aperam S.A.,LU0569974404,2013-05-07,"Bocage Capital, LLC",0.63,archive
PostNL N.V.,NL0009739416,2013-05-07,Marshall Wace LLP,0.53,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-07,Susquehanna International Holdings LLC,1.04,archive
Fugro N.V.,NL0000352565,2013-05-06,AKO Capital LLP,1.45,archive
PostNL N.V.,NL0009739416,2013-05-06,"AQR Capital Management, LLC",0.62,archive
AMG Critical Materials N.V.,NL0000888691,2013-05-06,Highbridge Capital Management LLC,0.49,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-06,Marshall Wace LLP,0.74,archive
PostNL N.V.,NL0009739416,2013-05-06,Marshall Wace LLP,0.65,archive
AMG Critical Materials N.V.,NL0000888691,2013-05-03,Elliott Management Corporation,0.83,archive
AMG Critical Materials N.V.,NL0000888691,2013-05-03,Highbridge Capital Management LLC,0.5,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-03,Marshall Wace LLP,0.68,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-03,Susquehanna International Holdings LLC,0.63,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-05-02,BlackRock Advisors (UK) Limited,0.9,archive
Wereldhave N.V.,NL0000289213,2013-05-02,"BlackRock Institutional Trust Company, National Association",0.6,archive
Koninklijke KPN N.V.,NL0000009082,2013-05-02,Marshall Wace LLP,0.74,archive
Fugro N.V.,NL0000352565,2013-04-30,"Arrowstreet Capital, Limited Partnership",0.61,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-04-30,"BlackRock Institutional Trust Company, National Association",1.5,archive
Koninklijke KPN N.V.,NL0000009082,2013-04-30,GLG Partners LP,0.32,archive
Koninklijke KPN N.V.,NL0000009082,2013-04-26,GLG Partners LP,1.25,archive
Koninklijke KPN N.V.,NL0000009082,2013-04-26,Marshall Wace LLP,0.57,archive
PostNL N.V.,NL0009739416,2013-04-25,"BlackRock Institutional Trust Company, National Association",0.8,archive
Wereldhave N.V.,NL0000289213,2013-04-25,"BlackRock Institutional Trust Company, National Association",0.58,archive
Koninklijke KPN N.V.,NL0000009082,2013-04-25,Marshall Wace LLP,0.94,archive
PostNL N.V.,NL0009739416,2013-04-25,Marshall Wace LLP,0.7,archive
AMG Critical Materials N.V.,NL0000888691,2013-04-25,Oxford Asset Management,0.69,archive
Fugro N.V.,NL0000352565,2013-04-24,"AQR Capital Management, LLC",1.01,archive
PostNL N.V.,NL0009739416,2013-04-24,Oxford Asset Management,1.73,archive
TomTom N.V.,NL0000387058,2013-04-23,AKO Capital LLP,3.75,archive
SBM Offshore N.V.,NL0000360618,2013-04-23,"AQR Capital Management, LLC",0.71,archive
