issuer_name,isin,position_date,position_holder,net_short_position,source
Fugro N.V.,NL0000352565,2013-11-06,Marshall Wace LLP,0.49,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-11-04,BlackRock Advisors (UK) Limited,0.61,archive
Fugro N.V.,NL0000352565,2013-11-04,Marshall Wace LLP,0.57,archive
Aperam S.A.,LU0569974404,2013-11-01,Adage Capital Management L.P.,2.79,archive
NSI N.V.,NL0000292324,2013-10-31,Carlson Capital UK LLP,0.41,archive
Fugro N.V.,NL0000352565,2013-10-31,Marshall Wace LLP,0.66,archive
Koninklijke Vopak N.V.,NL0009432491,2013-10-31,Scopia Capital Management LP,0.6,archive
NSI N.V.,NL0000292324,2013-10-30,Carlson Capital UK LLP,0.5,archive
Wereldhave N.V.,NL0000289213,2013-10-29,"BlackRock Institutional Trust Company, National Association",0.88,archive
Fugro N.V.,NL0000352565,2013-10-29,Citadel Europe LLP,0.5,archive
Fugro N.V.,NL0000352565,2013-10-29,Marshall Wace LLP,0.79,archive
Koninklijke BAM Groep N.V.,NL0000337319,2013-10-29,Marshall Wace LLP,0.49,archive
TomTom N.V.,NL0000387058,2013-10-28,AKO Capital LLP,2.22,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-10-28,BlackRock Investment Management (UK) Limited,0.6,archive
Fugro N.V.,NL0000352565,2013-10-28,Marshall Wace LLP,0.8,archive
Fugro N.V.,NL0000352565,2013-10-25,AKO Capital LLP,2.43,archive
TomTom N.V.,NL0000387058,2013-10-25,AKO Capital LLP,2.47,archive
Fugro N.V.,NL0000352565,2013-10-25,Marshall Wace LLP,0.79,archive
Koninklijke Vopak N.V.,NL0009432491,2013-10-25,Scopia Capital Management LP,0.53,archive
TomTom N.V.,NL0000387058,2013-10-24,AKO Capital LLP,2.61,archive
TomTom N.V.,NL0000387058,2013-10-23,AKO Capital LLP,2.75,archive
Koninklijke Heijmans N.V.,NL0009269109,2013-10-23,BlackRock Advisors (UK) Limited,0.59,archive
Fugro N.V.,NL0000352565,2013-10-22,AKO Capital LLP,2.32,archive
TomTom N.V.,NL0000387058,2013-10-22,"Marble Arch Investments, LP",1.27,archive
