net_short_position,isin,position_holder,position_date,issuer_name,source
1.02,NL0013267909,Davidson Kempner Capital Management LP,2026-06-03,Akzo Nobel N.V.,current
0.83,NL0013267909,LMR Partners LLP,2026-06-03,Akzo Nobel N.V.,current
0.91,CH1216478797,Marshall Wace LLP,2026-06-03,DSM-Firmenich AG,current
0.81,NL0015002MS2,Marshall Wace LLP,2026-06-03,The Magnum Ice Cream Company N.V.,current
0.58,NL0010391025,Whitebox Advisors LLC,2026-06-03,Pharming Group N.V.,current
2.2,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-06-02,Fugro N.V.,current
0.79,NL0011872650,Sculptor Capital Management Europe Limited,2026-06-02,Basic-Fit N.V.,current
1.02,NL0010391025,Walleye Capital LLC,2026-06-02,Pharming Group N.V.,current
0.81,NL0012365084,Numeric Investors LLC,2026-06-01,NSI N.V.,current
0.59,NL0000852564,"AQR Capital Management, LLC",2026-05-29,Aalberts N.V.,current
0.69,NL0010801007,"BlackRock Financial Management, Inc.",2026-05-29,IMCD N.V.,current
0.83,NL0011821392,"BlackRock Financial Management, Inc.",2026-05-29,Signify N.V.,current
0.58,NL0013267909,Davidson Kempner Capital Management LP,2026-05-29,Akzo Nobel N.V.,current
1.85,CH1216478797,Ilex Capital Partners (UK) LLP,2026-05-29,DSM-Firmenich AG,current
0.85,CH1216478797,Marshall Wace LLP,2026-05-29,DSM-Firmenich AG,current
1.11,NL0011821392,"PDT Partners, LLC",2026-05-29,Signify N.V.,current
0.83,NL0015002MS2,Qube Research & Technologies Ltd.,2026-05-29,The Magnum Ice Cream Company N.V.,current
0.5,NL0011821392,Squarepoint Ops LLC,2026-05-29,Signify N.V.,current
1.09,NL0010391025,"Two Sigma Investments, LP",2026-05-29,Pharming Group N.V.,current
1.18,NL0012969182,"AQR Capital Management, LLC",2026-05-28,Adyen N.V.,current
0.66,NL0013267909,Davidson Kempner Capital Management LP,2026-05-28,Akzo Nobel N.V.,current
0.87,NL0011872650,Linden Advisors LP,2026-05-28,Basic-Fit N.V.,current
1.18,LU2290522684,"Two Sigma Investments, LP",2026-05-28,InPost S.A.,current
0.92,NL0010391025,Walleye Capital LLC,2026-05-28,Pharming Group N.V.,current
0.6,NL0013267909,"AQR Capital Management, LLC",2026-05-27,Akzo Nobel N.V.,current
0.91,NL0000289213,Citadel Advisors LLC,2026-05-27,Wereldhave N.V.,current
1.01,NL0013267909,Davidson Kempner Capital Management LP,2026-05-27,Akzo Nobel N.V.,current
0.79,NL0012365084,Numeric Investors LLC,2026-05-27,NSI N.V.,current
0.78,NL0015002MS2,Qube Research & Technologies Ltd.,2026-05-27,The Magnum Ice Cream Company N.V.,current
1.18,NL0011821392,"AQR Capital Management, LLC",2026-05-26,Signify N.V.,current
1.3,NL0010801007,"Arrowstreet Capital, Limited Partnership",2026-05-26,IMCD N.V.,current
0.8,NL0010801007,Capital Fund Management S.A.,2026-05-26,IMCD N.V.,current
0.91,CH1216478797,Citadel Advisors LLC,2026-05-26,DSM-Firmenich AG,current
0.75,NL0009739416,Marshall Wace LLP,2026-05-26,PostNL N.V.,current
1.6,NL0011821392,Marshall Wace LLP,2026-05-26,Signify N.V.,current
0.8,NL0015002MS2,Qube Research & Technologies Ltd.,2026-05-26,The Magnum Ice Cream Company N.V.,current
0.8,NL0010801007,"PDT Partners, LLC",2026-05-25,IMCD N.V.,current
0.8,NL0011872650,Sculptor Capital Management Europe Limited,2026-05-25,Basic-Fit N.V.,current
0.53,NL00150003E1,"Algert Global, LLC",2026-05-22,Fugro N.V.,current
0.86,CH1216478797,Citadel Advisors LLC,2026-05-22,DSM-Firmenich AG,current
1.6,NL0011821392,Citadel Advisors LLC,2026-05-22,Signify N.V.,current
0.78,CH1216478797,Marshall Wace LLP,2026-05-22,DSM-Firmenich AG,current
0.79,NL0010801007,"PDT Partners, LLC",2026-05-22,IMCD N.V.,current
0.8,NL0010391025,Walleye Capital LLC,2026-05-22,Pharming Group N.V.,current
1.0,NL0011821392,Canada Pension Plan Investment Board,2026-05-21,Signify N.V.,current
0.74,CH1216478797,Citadel Advisors LLC,2026-05-21,DSM-Firmenich AG,current
1.71,CH1216478797,Ilex Capital Partners (UK) LLP,2026-05-21,DSM-Firmenich AG,current
0.6,CH1216478797,Marshall Wace LLP,2026-05-21,DSM-Firmenich AG,current
1.58,NL0011821392,Marshall Wace LLP,2026-05-21,Signify N.V.,current
0.99,NL0010391025,"Two Sigma Investments, LP",2026-05-21,Pharming Group N.V.,current
1.29,LU2290522684,"Two Sigma Investments, LP",2026-05-20,InPost S.A.,current
1.0,NL0010391025,"Two Sigma Investments, LP",2026-05-20,Pharming Group N.V.,current
0.9,NL0011872650,Linden Advisors LP,2026-05-19,Basic-Fit N.V.,current
1.0,NL0011821392,"PDT Partners, LLC",2026-05-19,Signify N.V.,current
0.99,NL0006237562,"AQR Capital Management, LLC",2026-05-18,ARCADIS N.V.,current
0.62,CH1216478797,Citadel Advisors LLC,2026-05-18,DSM-Firmenich AG,current
1.59,NL0011821392,Citadel Advisors LLC,2026-05-18,Signify N.V.,current
0.73,NL0015002MS2,Marshall Wace LLP,2026-05-18,The Magnum Ice Cream Company N.V.,current
0.79,NL0010801007,"BlackRock Financial Management, Inc.",2026-05-15,IMCD N.V.,current
0.82,NL0000289213,Citadel Advisors LLC,2026-05-15,Wereldhave N.V.,current
0.68,NL0015002MS2,Marshall Wace LLP,2026-05-15,The Magnum Ice Cream Company N.V.,current
0.71,NL0015002MS2,Qube Research & Technologies Ltd.,2026-05-15,The Magnum Ice Cream Company N.V.,current
0.78,NL0010801007,Capital Fund Management S.A.,2026-05-14,IMCD N.V.,current
0.89,NL0011872650,"D. E. Shaw & Co., L.P.",2026-05-14,Basic-Fit N.V.,current
0.8,NL0010801007,"PDT Partners, LLC",2026-05-14,IMCD N.V.,current
0.77,NL0011872650,Sculptor Capital Management Europe Limited,2026-05-14,Basic-Fit N.V.,current
0.8,NL0010801007,Capital Fund Management S.A.,2026-05-13,IMCD N.V.,current
1.61,NL0011821392,Citadel Advisors LLC,2026-05-13,Signify N.V.,current
0.91,NL0010391025,"Two Sigma Investments, LP",2026-05-13,Pharming Group N.V.,current
0.74,NL0010391025,Walleye Capital LLC,2026-05-13,Pharming Group N.V.,current
0.59,NL0010801007,"BlackRock Advisors, LLC",2026-05-12,IMCD N.V.,current
0.71,NL0011821392,"BlackRock Financial Management, Inc.",2026-05-12,Signify N.V.,current
0.79,NL0010801007,Capital Fund Management S.A.,2026-05-12,IMCD N.V.,current
0.82,NL0010391025,Lazard Asset Management LLC,2026-05-12,Pharming Group N.V.,current
0.8,NL0012365084,Numeric Investors LLC,2026-05-12,NSI N.V.,current
1.36,LU2290522684,"Two Sigma Investments, LP",2026-05-12,InPost S.A.,current
0.8,NL0010801007,Capital Fund Management S.A.,2026-05-11,IMCD N.V.,current
0.5,CH1216478797,Citadel Advisors LLC,2026-05-11,DSM-Firmenich AG,current
0.7,NL0000289213,Citadel Advisors LLC,2026-05-11,Wereldhave N.V.,current
0.86,NL0010391025,"Two Sigma Investments, LP",2026-05-11,Pharming Group N.V.,current
0.8,CY0200751713,"Two Sigma Investments, LP",2026-05-11,Theon International Plc,current
0.63,NL0010391025,Walleye Capital LLC,2026-05-11,Pharming Group N.V.,current
1.5,NL0011821392,Citadel Advisors LLC,2026-05-08,Signify N.V.,current
1.72,NL0013267909,Davidson Kempner Capital Management LP,2026-05-08,Akzo Nobel N.V.,current
0.75,NL0010391025,"Two Sigma Investments, LP",2026-05-08,Pharming Group N.V.,current
0.53,NL0010391025,Walleye Capital LLC,2026-05-08,Pharming Group N.V.,current
0.76,NL0010391025,Lazard Asset Management LLC,2026-05-07,Pharming Group N.V.,current
1.69,NL0011821392,Marshall Wace LLP,2026-05-07,Signify N.V.,current
0.79,NL0010801007,Capital Fund Management S.A.,2026-05-06,IMCD N.V.,current
1.41,NL0011821392,Citadel Advisors LLC,2026-05-06,Signify N.V.,current
1.4,CH1216478797,Ilex Capital Partners (UK) LLP,2026-05-06,DSM-Firmenich AG,current
0.69,JE00BRX98089,Marshall Wace LLP,2026-05-06,CVC Capital Partners plc,current
0.77,NL0010801007,"PDT Partners, LLC",2026-05-06,IMCD N.V.,current
0.9,NL0011821392,"PDT Partners, LLC",2026-05-06,Signify N.V.,current
1.36,NL0011821392,Citadel Advisors LLC,2026-05-05,Signify N.V.,current
0.98,NL0011872650,"D. E. Shaw & Co., L.P.",2026-05-05,Basic-Fit N.V.,current
1.09,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2026-05-05,TomTom N.V.,current
1.76,NL0011821392,Marshall Wace LLP,2026-05-05,Signify N.V.,current
0.65,NL0011872650,Sculptor Capital Management Europe Limited,2026-05-05,Basic-Fit N.V.,current
0.81,NL0010801007,Capital Fund Management S.A.,2026-05-04,IMCD N.V.,current
1.61,NL0013267909,Davidson Kempner Capital Management LP,2026-05-04,Akzo Nobel N.V.,current
0.57,NL0006237562,"D. E. Shaw & Co., L.P.",2026-04-30,ARCADIS N.V.,current
0.89,NL0009739416,Marshall Wace LLP,2026-04-30,PostNL N.V.,current
0.86,NL0015002MS2,Marshall Wace LLP,2026-04-30,The Magnum Ice Cream Company N.V.,current
0.89,NL0011821392,"PDT Partners, LLC",2026-04-30,Signify N.V.,current
0.6,NL0015002MS2,Qube Research & Technologies Ltd.,2026-04-30,The Magnum Ice Cream Company N.V.,current
0.59,NL0011872650,Sculptor Capital Management Europe Limited,2026-04-30,Basic-Fit N.V.,current
0.56,NL0006237562,White Creek Capital LLP,2026-04-30,ARCADIS N.V.,current
1.29,NL0011821392,Citadel Advisors LLC,2026-04-29,Signify N.V.,current
0.9,NL0000817179,Citadel Advisors LLC,2026-04-29,Sligro Food Group N.V.,current
0.71,JE00BRX98089,Marshall Wace LLP,2026-04-29,CVC Capital Partners plc,current
0.9,NL0009739416,Marshall Wace LLP,2026-04-29,PostNL N.V.,current
0.9,NL0011821392,"PDT Partners, LLC",2026-04-29,Signify N.V.,current
1.32,NL0011821392,Citadel Advisors LLC,2026-04-28,Signify N.V.,current
1.17,NL0013332471,JPMorgan Asset Management (UK) Ltd.,2026-04-28,TomTom N.V.,current
1.8,NL0011821392,Marshall Wace LLP,2026-04-28,Signify N.V.,current
0.98,NL0015002MS2,Marshall Wace LLP,2026-04-28,The Magnum Ice Cream Company N.V.,current
1.27,NL0012969182,"AQR Capital Management, LLC",2026-04-27,Adyen N.V.,current
1.43,NL0011821392,Citadel Advisors LLC,2026-04-27,Signify N.V.,current
1.3,CH1216478797,Ilex Capital Partners (UK) LLP,2026-04-27,DSM-Firmenich AG,current
2.15,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-04-27,Fugro N.V.,current
2.06,NL00150003E1,JPMorgan Asset Management (UK) Ltd.,2026-04-24,Fugro N.V.,current
0.82,NL0011872650,Linden Advisors LP,2026-04-24,Basic-Fit N.V.,current
1.04,NL0015002MS2,Marshall Wace LLP,2026-04-24,The Magnum Ice Cream Company N.V.,current
1.68,NL0011821392,Citadel Advisors LLC,2026-04-23,Signify N.V.,current
0.8,NL0000817179,Citadel Advisors LLC,2026-04-23,Sligro Food Group N.V.,current
0.84,NL0011872650,Eleva Capital SAS,2026-04-23,Basic-Fit N.V.,current
1.11,NL0015002MS2,Marshall Wace LLP,2026-04-23,The Magnum Ice Cream Company N.V.,current
0.77,NL0010391025,Capstone Volatility Master (Cayman) Limited,2026-04-22,Pharming Group N.V.,current
1.71,NL0011821392,Citadel Advisors LLC,2026-04-22,Signify N.V.,current
