position_holder,isin,net_short_position,issuer_name,position_date,source
Marshall Wace LLP,NL0009739416,0.7,PostNL N.V.,2026-03-23,current
Qube Research & Technologies Ltd.,CY0200751713,1.01,Theon International Plc,2026-03-23,current
Squarepoint Ops LLC,NL0006237562,1.05,ARCADIS N.V.,2026-03-23,current
"Two Sigma Investments, LP",LU2290522684,1.36,InPost S.A.,2026-03-23,current
"BlackRock Financial Management, Inc.",NL0011821392,0.58,Signify N.V.,2026-03-20,current
Capital Fund Management S.A.,NL0012969182,0.7,Adyen N.V.,2026-03-20,current
Ilex Capital Partners (UK) LLP,CH1216478797,0.75,DSM-Firmenich AG,2026-03-20,current
Marshall Wace LLP,NL0000379121,0.83,Randstad N.V.,2026-03-20,current
Marshall Wace LLP,NL0015002MS2,1.52,The Magnum Ice Cream Company N.V.,2026-03-20,current
Qube Research & Technologies Ltd.,CY0200751713,0.99,Theon International Plc,2026-03-20,current
"Two Sigma Investments, LP",NL0010801007,0.81,IMCD N.V.,2026-03-20,current
"Two Sigma Investments, LP",LU2290522684,1.26,InPost S.A.,2026-03-20,current
AKO Capital LLP,NL0013267909,1.31,Akzo Nobel N.V.,2026-03-19,current
"AQR Capital Management, LLC",NL0006237562,0.8,ARCADIS N.V.,2026-03-19,current
Marshall Wace LLP,JE00BRX98089,0.6,CVC Capital Partners plc,2026-03-19,current
Marshall Wace LLP,NL0000379121,0.73,Randstad N.V.,2026-03-19,current
Marshall Wace LLP,NL0015002MS2,1.43,The Magnum Ice Cream Company N.V.,2026-03-19,current
Winton Capital Management Limited,NL0013332471,0.61,TomTom N.V.,2026-03-19,current
"WorldQuant, LLC",NL0012817175,2.83,Alfen N.V.,2026-03-19,current
"WorldQuant, LLC",NL0010801007,0.6,IMCD N.V.,2026-03-19,current
"AQR Capital Management, LLC",NL0012969182,0.6,Adyen N.V.,2026-03-18,current
"Empyrean Capital Overseas Master Fund, Ltd",NL0013267909,0.52,Akzo Nobel N.V.,2026-03-18,current
Ilex Capital Partners (UK) LLP,CH1216478797,0.87,DSM-Firmenich AG,2026-03-18,current
Qube Research & Technologies Ltd.,CY0200751713,0.57,Theon International Plc,2026-03-18,current
"Two Sigma Investments, LP",LU2290522684,1.11,InPost S.A.,2026-03-18,current
Voleon Capital Management LP,NL0012817175,1.97,Alfen N.V.,2026-03-18,current
"WorldQuant, LLC",NL0012817175,2.98,Alfen N.V.,2026-03-18,current
Qube Research & Technologies Ltd.,JE00BRX98089,0.71,CVC Capital Partners plc,2026-03-17,current
Marshall Wace LLP,NL0015002MS2,1.3,The Magnum Ice Cream Company N.V.,2026-03-16,current
"PDT Partners, LLC",NL0010801007,0.8,IMCD N.V.,2026-03-16,current
"WorldQuant, LLC",NL0012817175,3.08,Alfen N.V.,2026-03-16,current
"AQR Capital Management, LLC",NL0012969182,0.52,Adyen N.V.,2026-03-13,current
Ilex Capital Partners (UK) LLP,CH1216478797,0.98,DSM-Firmenich AG,2026-03-13,current
Marshall Wace LLP,JE00BRX98089,0.52,CVC Capital Partners plc,2026-03-13,current
Marshall Wace LLP,NL0000379121,0.61,Randstad N.V.,2026-03-13,current
"WorldQuant, LLC",NL0012817175,3.14,Alfen N.V.,2026-03-13,current
"WorldQuant, LLC",NL0010801007,0.52,IMCD N.V.,2026-03-13,current
Canada Pension Plan Investment Board,NL0011821392,0.65,Signify N.V.,2026-03-12,current
JPMorgan Asset Management (UK) Ltd.,NL0010801007,0.64,IMCD N.V.,2026-03-12,current
Squarepoint Ops LLC,NL0006237562,1.1,ARCADIS N.V.,2026-03-12,current
Canada Pension Plan Investment Board,NL0011821392,0.57,Signify N.V.,2026-03-11,current
Capital Fund Management S.A.,NL0012969182,0.6,Adyen N.V.,2026-03-11,current
Citadel Advisors LLC,NL0011821392,2.24,Signify N.V.,2026-03-11,current
Marshall Wace LLP,NL0011821392,1.91,Signify N.V.,2026-03-11,current
Citadel Advisors LLC,NL0011821392,2.17,Signify N.V.,2026-03-10,current
Lazard Asset Management LLC,NL0010391025,0.96,Pharming Group N.V.,2026-03-10,current
Marshall Wace LLP,NL0015002MS2,1.21,The Magnum Ice Cream Company N.V.,2026-03-10,current
"Two Sigma Investments, LP",LU2290522684,1.03,InPost S.A.,2026-03-10,current
Winton Capital Management Limited,NL0013332471,0.52,TomTom N.V.,2026-03-10,current
