isin,position_date,issuer_name,position_holder,net_short_position,source
NL0011821392,2026-04-21,Signify N.V.,Canada Pension Plan Investment Board,0.91,current
NL0011821392,2026-04-21,Signify N.V.,Citadel Advisors LLC,1.82,current
NL0000289213,2026-04-21,Wereldhave N.V.,Citadel Advisors LLC,0.7,current
NL00150003E1,2026-04-21,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.56,current
NL0011821392,2026-04-21,Signify N.V.,"PDT Partners, LLC",0.88,current
NL0006237562,2026-04-21,ARCADIS N.V.,White Creek Capital LLP,0.61,current
NL0012969182,2026-04-20,Adyen N.V.,"AQR Capital Management, LLC",1.29,current
NL0011821392,2026-04-20,Signify N.V.,Canada Pension Plan Investment Board,0.87,current
NL0011821392,2026-04-20,Signify N.V.,Citadel Advisors LLC,2.0,current
NL0011872650,2026-04-20,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",1.06,current
NL00150003E1,2026-04-20,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.45,current
NL0011872650,2026-04-20,Basic-Fit N.V.,Linden Advisors LP,0.7,current
NL0013267909,2026-04-20,Akzo Nobel N.V.,"O'Connor Alternative Investments, LLC",1.16,current
NL0006237562,2026-04-20,ARCADIS N.V.,White Creek Capital LLP,0.57,current
NL0010801007,2026-04-17,IMCD N.V.,"BlackRock Financial Management, Inc.",0.89,current
NL0010801007,2026-04-17,IMCD N.V.,Citadel Advisors LLC,0.53,current
NL0011821392,2026-04-17,Signify N.V.,Citadel Advisors LLC,2.22,current
NL0000817179,2026-04-17,Sligro Food Group N.V.,Citadel Advisors LLC,0.71,current
NL0011872650,2026-04-17,Basic-Fit N.V.,"D. E. Shaw & Co., L.P.",1.12,current
NL0013267909,2026-04-17,Akzo Nobel N.V.,Davidson Kempner Capital Management LP,1.41,current
NL0011872650,2026-04-17,Basic-Fit N.V.,Fosse Capital Partners LLP,1.02,current
NL00150003E1,2026-04-17,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,1.06,current
NL0010801007,2026-04-17,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.91,current
NL0013332471,2026-04-17,TomTom N.V.,JPMorgan Asset Management (UK) Ltd.,1.22,current
NL0011872650,2026-04-17,Basic-Fit N.V.,Linden Advisors LP,0.59,current
NL0010801007,2026-04-17,IMCD N.V.,Marshall Wace LLP,0.65,current
NL0009739416,2026-04-17,PostNL N.V.,Marshall Wace LLP,0.81,current
NL0011821392,2026-04-17,Signify N.V.,"PDT Partners, LLC",0.9,current
NL0011872650,2026-04-17,Basic-Fit N.V.,Sculptor Capital Management Europe Limited,0.6,current
LU2290522684,2026-04-17,InPost S.A.,"Two Sigma Investments, LP",1.47,current
NL0015002MS2,2026-04-17,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,0.62,current
NL0012969182,2026-04-16,Adyen N.V.,"AQR Capital Management, LLC",1.3,current
NL0011821392,2026-04-16,Signify N.V.,Citadel Advisors LLC,2.32,current
NL0010801007,2026-04-16,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.85,current
NL0010391025,2026-04-16,Pharming Group N.V.,Lazard Asset Management LLC,1.18,current
NL0010801007,2026-04-16,IMCD N.V.,Marshall Wace LLP,0.52,current
CH1216478797,2026-04-15,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.23,current
NL0010801007,2026-04-15,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.76,current
NL0010391025,2026-04-15,Pharming Group N.V.,Lazard Asset Management LLC,1.2,current
NL0011821392,2026-04-15,Signify N.V.,Marshall Wace LLP,1.82,current
NL0015002MS2,2026-04-15,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.15,current
NL0010801007,2026-04-14,IMCD N.V.,"BlackRock Financial Management, Inc.",0.97,current
NL0011872650,2026-04-14,Basic-Fit N.V.,Fosse Capital Partners LLP,1.23,current
NL0010801007,2026-04-14,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,0.66,current
NL0015002MS2,2026-04-14,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.22,current
NL0009739416,2026-04-14,PostNL N.V.,"PDT Partners, LLC",0.5,current
NL0012969182,2026-04-13,Adyen N.V.,"AQR Capital Management, LLC",1.21,current
NL0006237562,2026-04-13,ARCADIS N.V.,"AQR Capital Management, LLC",1.01,current
JE00BRX98089,2026-04-13,CVC Capital Partners plc,"AQR Capital Management, LLC",0.71,current
NL0000817179,2026-04-13,Sligro Food Group N.V.,Citadel Advisors LLC,0.61,current
NL0010801007,2026-04-13,IMCD N.V.,"PDT Partners, LLC",0.89,current
NL0015002MS2,2026-04-13,The Magnum Ice Cream Company N.V.,Walleye Capital LLC,0.5,current
NL0000395903,2026-04-10,Wolters Kluwer N.V.,"D. E. Shaw & Co., L.P.",0.8,current
NL0015002MS2,2026-04-10,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,1.38,current
NL0010801007,2026-04-10,IMCD N.V.,"PDT Partners, LLC",0.9,current
NL0012969182,2026-04-09,Adyen N.V.,"AQR Capital Management, LLC",1.13,current
NL0011821392,2026-04-09,Signify N.V.,Citadel Advisors LLC,2.42,current
CH1216478797,2026-04-09,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,1.0,current
NL0012365084,2026-04-09,NSI N.V.,Numeric Investors LLC,0.71,current
NL0010801007,2026-04-09,IMCD N.V.,"PDT Partners, LLC",0.89,current
NL0000852564,2026-04-08,Aalberts N.V.,"AQR Capital Management, LLC",0.61,current
NL0011821392,2026-04-08,Signify N.V.,"AQR Capital Management, LLC",1.22,current
NL0011821392,2026-04-08,Signify N.V.,Citadel Advisors LLC,2.39,current
