isin,position_holder,position_date,net_short_position,issuer_name,source
NL0010801007,"PDT Partners, LLC",2026-05-14,0.8,IMCD N.V.,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-05-14,0.77,Basic-Fit N.V.,current
NL0010801007,Capital Fund Management S.A.,2026-05-13,0.8,IMCD N.V.,current
NL0011821392,Citadel Advisors LLC,2026-05-13,1.61,Signify N.V.,current
NL0010391025,"D. E. Shaw & Co., L.P.",2026-05-13,0.53,Pharming Group N.V.,current
NL0010391025,"Two Sigma Investments, LP",2026-05-13,0.91,Pharming Group N.V.,current
NL0010391025,Walleye Capital LLC,2026-05-13,0.74,Pharming Group N.V.,current
NL0010801007,"BlackRock Advisors, LLC",2026-05-12,0.59,IMCD N.V.,current
NL0011821392,"BlackRock Financial Management, Inc.",2026-05-12,0.71,Signify N.V.,current
NL0010801007,Capital Fund Management S.A.,2026-05-12,0.79,IMCD N.V.,current
NL0010391025,Lazard Asset Management LLC,2026-05-12,0.82,Pharming Group N.V.,current
NL0012365084,Numeric Investors LLC,2026-05-12,0.8,NSI N.V.,current
LU2290522684,"Two Sigma Investments, LP",2026-05-12,1.36,InPost S.A.,current
NL0010801007,Capital Fund Management S.A.,2026-05-11,0.8,IMCD N.V.,current
NL0000852523,Capital Fund Management S.A.,2026-05-11,0.52,TKH Group N.V.,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-11,1.02,Signify N.V.,current
CH1216478797,Citadel Advisors LLC,2026-05-11,0.5,DSM-Firmenich AG,current
NL0000289213,Citadel Advisors LLC,2026-05-11,0.7,Wereldhave N.V.,current
NL0010391025,"Two Sigma Investments, LP",2026-05-11,0.86,Pharming Group N.V.,current
CY0200751713,"Two Sigma Investments, LP",2026-05-11,0.8,Theon International Plc,current
NL0010391025,Walleye Capital LLC,2026-05-11,0.63,Pharming Group N.V.,current
NL0011821392,Citadel Advisors LLC,2026-05-08,1.5,Signify N.V.,current
NL0013267909,Davidson Kempner Capital Management LP,2026-05-08,1.72,Akzo Nobel N.V.,current
NL0010391025,"Two Sigma Investments, LP",2026-05-08,0.75,Pharming Group N.V.,current
NL0010391025,Walleye Capital LLC,2026-05-08,0.53,Pharming Group N.V.,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-07,0.97,Signify N.V.,current
NL0010391025,Lazard Asset Management LLC,2026-05-07,0.76,Pharming Group N.V.,current
NL0011821392,Marshall Wace LLP,2026-05-07,1.69,Signify N.V.,current
NL0010801007,Capital Fund Management S.A.,2026-05-06,0.79,IMCD N.V.,current
NL0011821392,Citadel Advisors LLC,2026-05-06,1.41,Signify N.V.,current
CH1216478797,Ilex Capital Partners (UK) LLP,2026-05-06,1.4,DSM-Firmenich AG,current
JE00BRX98089,Marshall Wace LLP,2026-05-06,0.69,CVC Capital Partners plc,current
NL0010801007,"PDT Partners, LLC",2026-05-06,0.77,IMCD N.V.,current
NL0011821392,"PDT Partners, LLC",2026-05-06,0.9,Signify N.V.,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-05,0.8,Signify N.V.,current
NL0011821392,Citadel Advisors LLC,2026-05-05,1.36,Signify N.V.,current
NL0011872650,"D. E. Shaw & Co., L.P.",2026-05-05,0.98,Basic-Fit N.V.,current
NL0013332471,JPMorgan Asset Management (UK) Ltd.,2026-05-05,1.09,TomTom N.V.,current
NL0011821392,Marshall Wace LLP,2026-05-05,1.76,Signify N.V.,current
NL0011872650,Sculptor Capital Management Europe Limited,2026-05-05,0.65,Basic-Fit N.V.,current
NL0010801007,Capital Fund Management S.A.,2026-05-04,0.81,IMCD N.V.,current
NL0011821392,Citadel Advisors Europe Limited,2026-05-04,0.7,Signify N.V.,current
NL0013267909,Davidson Kempner Capital Management LP,2026-05-04,1.61,Akzo Nobel N.V.,current
NL0011821392,Citadel Advisors Europe Limited,2026-04-30,0.55,Signify N.V.,current
NL0006237562,"D. E. Shaw & Co., L.P.",2026-04-30,0.57,ARCADIS N.V.,current
