position_holder,net_short_position,position_date,issuer_name,isin,source
BlackRock Investment Management (UK) Limited,1.93,2024-07-23,Basic-Fit N.V.,NL0011872650,archive
Citadel Advisors LLC,1.61,2024-07-23,Alfen N.V.,NL0012817175,archive
GSA Capital Partners LLP,0.6,2024-07-23,PostNL N.V.,NL0009739416,archive
Millennium Capital Partners LLP,1.33,2024-07-23,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,2.16,2024-07-23,Alfen N.V.,NL0012817175,archive
ShadowFall Capital & Research LLP,0.42,2024-07-23,Basic-Fit N.V.,NL0011872650,archive
Citadel Advisors LLC,1.56,2024-07-22,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.2,2024-07-22,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
Marshall Wace LLP,0.99,2024-07-22,PostNL N.V.,NL0009739416,archive
Millennium Capital Partners LLP,1.24,2024-07-22,Alfen N.V.,NL0012817175,archive
"PDT Partners, LLC",0.91,2024-07-22,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,0.99,2024-07-22,PostNL N.V.,NL0009739416,archive
Canada Pension Plan Investment Board,0.6,2024-07-19,BE Semiconductor Industries N.V.,NL0012866412,archive
Capital Fund Management S.A.,0.73,2024-07-19,AMG Critical Materials N.V.,NL0000888691,archive
Citadel Advisors LLC,0.48,2024-07-19,TomTom N.V.,NL0013332471,archive
Citadel Securities (Europe) Limited,0.73,2024-07-19,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.49,2024-07-19,TomTom N.V.,NL0013332471,archive
Marshall Wace LLP,2.2,2024-07-19,AMG Critical Materials N.V.,NL0000888691,archive
Millennium International Management LP,1.61,2024-07-19,Pharming Group N.V.,NL0010391025,archive
Qube Research & Technologies Ltd.,1.5,2024-07-19,AMG Critical Materials N.V.,NL0000888691,archive
Voleon Capital Management LP,1.0,2024-07-19,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
BlackRock Investment Management (UK) Limited,2.06,2024-07-18,Basic-Fit N.V.,NL0011872650,archive
Canada Pension Plan Investment Board,0.51,2024-07-18,BE Semiconductor Industries N.V.,NL0012866412,archive
Citadel Advisors LLC,1.62,2024-07-18,Alfen N.V.,NL0012817175,archive
Citadel Securities (Europe) Limited,0.6,2024-07-18,Vivoryon Therapeutics N.V.,NL00150002Q7,archive
GSA Capital Partners LLP,0.59,2024-07-18,PostNL N.V.,NL0009739416,archive
Marshall Wace LLP,1.09,2024-07-18,TomTom N.V.,NL0013332471,archive
Millennium Capital Partners LLP,1.12,2024-07-18,Alfen N.V.,NL0012817175,archive
Millennium International Management LP,1.59,2024-07-18,Pharming Group N.V.,NL0010391025,archive
"PDT Partners, LLC",0.86,2024-07-18,Alfen N.V.,NL0012817175,archive
Qube Research & Technologies Ltd.,2.23,2024-07-18,Alfen N.V.,NL0012817175,archive
"AQR Capital Management, LLC",0.49,2024-07-17,IMCD N.V.,NL0010801007,archive
