net_short_position,issuer_name,position_holder,position_date,isin,source
2.4,Signify N.V.,Citadel Advisors LLC,2026-03-31,NL0011821392,current
1.21,Signify N.V.,Eleva Capital SAS,2026-03-31,NL0011821392,current
0.9,CVC Capital Partners plc,Qube Research & Technologies Ltd.,2026-03-31,JE00BRX98089,current
0.9,Adyen N.V.,"AQR Capital Management, LLC",2026-03-30,NL0012969182,current
1.05,Signify N.V.,Eleva Capital SAS,2026-03-30,NL0011821392,current
0.64,The Magnum Ice Cream Company N.V.,GLG Partners LP,2026-03-30,NL0015002MS2,current
0.91,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-03-30,CH1216478797,current
1.87,Signify N.V.,Marshall Wace LLP,2026-03-30,NL0011821392,current
1.59,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-03-30,NL0015002MS2,current
0.61,NSI N.V.,Numeric Investors LLC,2026-03-30,NL0012365084,current
0.99,ARCADIS N.V.,Squarepoint Ops LLC,2026-03-30,NL0006237562,current
0.7,Theon International Plc,"Two Sigma Investments, LP",2026-03-30,CY0200751713,current
0.9,ARCADIS N.V.,"AQR Capital Management, LLC",2026-03-27,NL0006237562,current
1.12,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",2026-03-27,NL0010801007,current
1.09,IMCD N.V.,"BlackRock Financial Management, Inc.",2026-03-27,NL0010801007,current
0.51,IMCD N.V.,Capital Fund Management S.A.,2026-03-27,NL0010801007,current
0.7,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",2026-03-27,NL0006237562,current
0.59,Pharming Group N.V.,"D. E. Shaw & Co., L.P.",2026-03-27,NL0010391025,current
0.59,The Magnum Ice Cream Company N.V.,GLG Partners LP,2026-03-27,NL0015002MS2,current
0.86,Randstad N.V.,Marshall Wace LLP,2026-03-27,NL0000379121,current
0.69,ARCADIS N.V.,"D. E. Shaw & Co., L.P.",2026-03-26,NL0006237562,current
1.96,Signify N.V.,Marshall Wace LLP,2026-03-26,NL0011821392,current
1.14,Theon International Plc,Qube Research & Technologies Ltd.,2026-03-26,CY0200751713,current
1.5,InPost S.A.,"Two Sigma Investments, LP",2026-03-26,LU2290522684,current
0.5,IMCD N.V.,Voleon Capital Management LP,2026-03-26,NL0010801007,current
2.92,Alfen N.V.,"WorldQuant, LLC",2026-03-26,NL0012817175,current
0.8,Adyen N.V.,"AQR Capital Management, LLC",2026-03-25,NL0012969182,current
0.5,CVC Capital Partners plc,"AQR Capital Management, LLC",2026-03-25,JE00BRX98089,current
0.6,The Magnum Ice Cream Company N.V.,GLG Partners LP,2026-03-25,NL0015002MS2,current
0.82,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-03-25,CH1216478797,current
0.56,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,2026-03-24,NL0010801007,current
1.14,Pharming Group N.V.,Lazard Asset Management LLC,2026-03-24,NL0010391025,current
0.91,Randstad N.V.,Marshall Wace LLP,2026-03-24,NL0000379121,current
2.0,Signify N.V.,Marshall Wace LLP,2026-03-24,NL0011821392,current
1.6,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-03-24,NL0015002MS2,current
0.9,IMCD N.V.,"PDT Partners, LLC",2026-03-24,NL0010801007,current
0.81,CVC Capital Partners plc,Qube Research & Technologies Ltd.,2026-03-24,JE00BRX98089,current
1.44,InPost S.A.,"Two Sigma Investments, LP",2026-03-24,LU2290522684,current
0.6,Theon International Plc,"Two Sigma Investments, LP",2026-03-24,CY0200751713,current
2.0,Alfen N.V.,Voleon Capital Management LP,2026-03-24,NL0012817175,current
0.72,Adyen N.V.,"AQR Capital Management, LLC",2026-03-23,NL0012969182,current
1.01,IMCD N.V.,"Arrowstreet Capital, Limited Partnership",2026-03-23,NL0010801007,current
0.6,Signify N.V.,"BlackRock Financial Management, Inc.",2026-03-23,NL0011821392,current
2.3,Signify N.V.,Citadel Advisors LLC,2026-03-23,NL0011821392,current
0.69,PostNL N.V.,"D. E. Shaw & Co., L.P.",2026-03-23,NL0009739416,current
0.51,The Magnum Ice Cream Company N.V.,GLG Partners LP,2026-03-23,NL0015002MS2,current
0.7,PostNL N.V.,Marshall Wace LLP,2026-03-23,NL0009739416,current
1.01,Theon International Plc,Qube Research & Technologies Ltd.,2026-03-23,CY0200751713,current
1.05,ARCADIS N.V.,Squarepoint Ops LLC,2026-03-23,NL0006237562,current
1.36,InPost S.A.,"Two Sigma Investments, LP",2026-03-23,LU2290522684,current
0.58,Signify N.V.,"BlackRock Financial Management, Inc.",2026-03-20,NL0011821392,current
0.7,Adyen N.V.,Capital Fund Management S.A.,2026-03-20,NL0012969182,current
0.75,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-03-20,CH1216478797,current
0.83,Randstad N.V.,Marshall Wace LLP,2026-03-20,NL0000379121,current
1.52,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-03-20,NL0015002MS2,current
0.99,Theon International Plc,Qube Research & Technologies Ltd.,2026-03-20,CY0200751713,current
0.81,IMCD N.V.,"Two Sigma Investments, LP",2026-03-20,NL0010801007,current
1.26,InPost S.A.,"Two Sigma Investments, LP",2026-03-20,LU2290522684,current
1.31,Akzo Nobel N.V.,AKO Capital LLP,2026-03-19,NL0013267909,current
0.8,ARCADIS N.V.,"AQR Capital Management, LLC",2026-03-19,NL0006237562,current
0.6,CVC Capital Partners plc,Marshall Wace LLP,2026-03-19,JE00BRX98089,current
0.73,Randstad N.V.,Marshall Wace LLP,2026-03-19,NL0000379121,current
1.43,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-03-19,NL0015002MS2,current
0.61,TomTom N.V.,Winton Capital Management Limited,2026-03-19,NL0013332471,current
2.83,Alfen N.V.,"WorldQuant, LLC",2026-03-19,NL0012817175,current
0.6,Adyen N.V.,"AQR Capital Management, LLC",2026-03-18,NL0012969182,current
0.52,Akzo Nobel N.V.,"Empyrean Capital Overseas Master Fund, Ltd",2026-03-18,NL0013267909,current
0.87,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-03-18,CH1216478797,current
0.57,Theon International Plc,Qube Research & Technologies Ltd.,2026-03-18,CY0200751713,current
1.11,InPost S.A.,"Two Sigma Investments, LP",2026-03-18,LU2290522684,current
1.97,Alfen N.V.,Voleon Capital Management LP,2026-03-18,NL0012817175,current
2.98,Alfen N.V.,"WorldQuant, LLC",2026-03-18,NL0012817175,current
0.71,CVC Capital Partners plc,Qube Research & Technologies Ltd.,2026-03-17,JE00BRX98089,current
1.3,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-03-16,NL0015002MS2,current
0.8,IMCD N.V.,"PDT Partners, LLC",2026-03-16,NL0010801007,current
3.08,Alfen N.V.,"WorldQuant, LLC",2026-03-16,NL0012817175,current
0.52,Adyen N.V.,"AQR Capital Management, LLC",2026-03-13,NL0012969182,current
0.98,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-03-13,CH1216478797,current
0.52,CVC Capital Partners plc,Marshall Wace LLP,2026-03-13,JE00BRX98089,current
0.61,Randstad N.V.,Marshall Wace LLP,2026-03-13,NL0000379121,current
3.14,Alfen N.V.,"WorldQuant, LLC",2026-03-13,NL0012817175,current
0.65,Signify N.V.,Canada Pension Plan Investment Board,2026-03-12,NL0011821392,current
0.64,IMCD N.V.,JPMorgan Asset Management (UK) Ltd.,2026-03-12,NL0010801007,current
1.1,ARCADIS N.V.,Squarepoint Ops LLC,2026-03-12,NL0006237562,current
0.57,Signify N.V.,Canada Pension Plan Investment Board,2026-03-11,NL0011821392,current
0.6,Adyen N.V.,Capital Fund Management S.A.,2026-03-11,NL0012969182,current
2.24,Signify N.V.,Citadel Advisors LLC,2026-03-11,NL0011821392,current
1.91,Signify N.V.,Marshall Wace LLP,2026-03-11,NL0011821392,current
2.17,Signify N.V.,Citadel Advisors LLC,2026-03-10,NL0011821392,current
0.96,Pharming Group N.V.,Lazard Asset Management LLC,2026-03-10,NL0010391025,current
1.21,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-03-10,NL0015002MS2,current
1.03,InPost S.A.,"Two Sigma Investments, LP",2026-03-10,LU2290522684,current
0.52,TomTom N.V.,Winton Capital Management Limited,2026-03-10,NL0013332471,current
0.72,IMCD N.V.,Acadian Asset Management LLC.,2026-03-09,NL0010801007,current
1.21,Akzo Nobel N.V.,AKO Capital LLP,2026-03-09,NL0013267909,current
0.51,Adyen N.V.,Capital Fund Management S.A.,2026-03-09,NL0012969182,current
2.06,Signify N.V.,Citadel Advisors LLC,2026-03-09,NL0011821392,current
0.71,IMCD N.V.,"Two Sigma Investments, LP",2026-03-09,NL0010801007,current
0.7,IMCD N.V.,"BlackRock Advisors, LLC",2026-03-06,NL0010801007,current
1.88,Signify N.V.,Citadel Advisors LLC,2026-03-06,NL0011821392,current
0.81,Fugro N.V.,JPMorgan Asset Management (UK) Ltd.,2026-03-06,NL00150003E1,current
1.09,ARCADIS N.V.,Squarepoint Ops LLC,2026-03-06,NL0006237562,current
1.1,IMCD N.V.,"BlackRock Financial Management, Inc.",2026-03-05,NL0010801007,current
0.63,Wereldhave N.V.,Citadel Advisors LLC,2026-03-05,NL0000289213,current
0.5,Randstad N.V.,Marshall Wace LLP,2026-03-05,NL0000379121,current
1.11,The Magnum Ice Cream Company N.V.,Marshall Wace LLP,2026-03-05,NL0015002MS2,current
0.6,CVC Capital Partners plc,Qube Research & Technologies Ltd.,2026-03-05,JE00BRX98089,current
0.64,Theon International Plc,Qube Research & Technologies Ltd.,2026-03-05,CY0200751713,current
0.61,IMCD N.V.,Acadian Asset Management LLC.,2026-03-04,NL0010801007,current
0.52,Aalberts N.V.,"AQR Capital Management, LLC",2026-03-04,NL0000852564,current
1.03,Signify N.V.,"AQR Capital Management, LLC",2026-03-04,NL0011821392,current
1.06,IMCD N.V.,"BlackRock Financial Management, Inc.",2026-03-04,NL0010801007,current
1.87,Signify N.V.,Marshall Wace LLP,2026-03-04,NL0011821392,current
0.71,IMCD N.V.,"PDT Partners, LLC",2026-03-04,NL0010801007,current
0.8,Signify N.V.,"PDT Partners, LLC",2026-03-04,NL0011821392,current
0.59,Theon International Plc,Qube Research & Technologies Ltd.,2026-03-04,CY0200751713,current
0.9,InPost S.A.,"Two Sigma Investments, LP",2026-03-04,LU2290522684,current
1.03,DSM-Firmenich AG,Ilex Capital Partners (UK) LLP,2026-03-03,CH1216478797,current
0.77,Pharming Group N.V.,Lazard Asset Management LLC,2026-03-03,NL0010391025,current
0.69,PostNL N.V.,Marshall Wace LLP,2026-03-03,NL0009739416,current
1.92,Signify N.V.,Marshall Wace LLP,2026-03-03,NL0011821392,current
