issuer_name,position_date,isin,position_holder,net_short_position,source
Fugro N.V.,2014-06-06,NL0000352565,BlackRock Investment Management (UK) Limited,0.7,archive
Fugro N.V.,2014-06-06,NL0000352565,Citadel Europe LLP,0.8,archive
Aperam S.A.,2014-06-06,LU0569974404,CQS (UK) LLP,1.06,archive
Fugro N.V.,2014-06-06,NL0000352565,UBS Global Asset Management (UK) Ltd.,0.32,archive
Fugro N.V.,2014-06-05,NL0000352565,Marshall Wace LLP,0.65,archive
Koninklijke Heijmans N.V.,2014-06-04,NL0009269109,"BlackRock Institutional Trust Company, National Association",0.79,archive
Koninklijke Heijmans N.V.,2014-06-04,NL0009269109,BlackRock Investment Management (UK) Limited,0.59,archive
Aperam S.A.,2014-06-04,LU0569974404,BNP Paribas S.A.,0.51,archive
Fugro N.V.,2014-06-04,NL0000352565,Marshall Wace LLP,0.7,archive
TomTom N.V.,2014-06-04,NL0000387058,TT International,0.59,archive
Fugro N.V.,2014-06-03,NL0000352565,Marshall Wace LLP,0.69,archive
Fugro N.V.,2014-06-02,NL0000352565,Adelphi Capital LLP,0.71,archive
ArcelorMittal S.A.,2014-05-30,LU0323134006,Odey Asset Management LLP,0.5,archive
Fugro N.V.,2014-05-28,NL0000352565,AKO Capital LLP,1.73,archive
Aperam S.A.,2014-05-23,LU0569974404,CQS (UK) LLP,0.96,archive
Aperam S.A.,2014-05-20,LU0569974404,CQS (UK) LLP,0.81,archive
SBM Offshore N.V.,2014-05-19,NL0000360618,"AQR Capital Management, LLC",0.7,archive
Fugro N.V.,2014-05-16,NL0000352565,BlackRock Investment Management (UK) Limited,0.67,archive
Aperam S.A.,2014-05-16,LU0569974404,BNP Paribas S.A.,0.45,archive
Aperam S.A.,2014-05-15,LU0569974404,CQS (UK) LLP,0.69,archive
Fugro N.V.,2014-05-15,NL0000352565,Lansdowne Partners Limited,0.74,archive
Wereldhave N.V.,2014-05-13,NL0000289213,"BlackRock Institutional Trust Company, National Association",0.48,archive
TomTom N.V.,2014-05-13,NL0000387058,TT International,0.68,archive
Fugro N.V.,2014-05-12,NL0000352565,Marshall Wace LLP,0.71,archive
Aperam S.A.,2014-05-09,LU0569974404,BNP Paribas S.A.,0.56,archive
Fugro N.V.,2014-05-09,NL0000352565,UBS Global Asset Management (UK) Ltd.,0.75,archive
Aperam S.A.,2014-05-08,LU0569974404,BNP Paribas S.A.,0.63,archive
Fugro N.V.,2014-05-08,NL0000352565,Marshall Wace LLP,0.62,archive
